msa,population
"Pensacola-Ferry Pass-Brent, FL",488246
"Peoria, IL",406883
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6079130
"Phoenix-Mesa-Chandler, AZ",4761603
"Pine Bluff, AR",90865
"Pittsburgh, PA",2331447
"Pittsfield, MA",126425
"Pocatello, ID",93436
"Ponce, PR",226117
"Portland-South Portland, ME",532075
"Portland-Vancouver-Hillsboro, OR-WA",2445761
"Port St. Lucie, FL",472012
"Poughkeepsie-Newburgh-Middletown, NY",673839
"Prescott Valley-Prescott, AZ",228067
"Providence-Warwick, RI-MA",1618268
"Provo-Orem, UT",616791
"Pueblo, CO",165982
"Punta Gorda, FL",181067
"Racine, WI",195602
"Raleigh-Cary, NC",1332311
"Rapid City, SD",138402
"Reading, PA",418025
"Redding, CA",179212
"Reno, NV",460924
"Richmond, VA",1269530
"Riverside-San Bernardino-Ontario, CA",4560470
"Roanoke, VA",313009
"Rochester, MN",217964
"Rochester, NY",1072877
"Rockford, IL",338356
"Rocky Mount, NC",146678
"Rome, GA",97369
"Sacramento-Roseville-Folsom, CA",2315980
"Saginaw, MI",191821
"St. Cloud, MN",198581
"St. George, UT",165811
"St. Joseph, MO-KS",126173
"St. Louis, MO-IL",2805190
"Salem, OR",422678
"Salinas, CA",433410
"Salisbury, MD-DE",404417
"Salt Lake City, UT",1201043
"San Angelo, TX",120837
"San Antonio-New Braunfels, TX",2468193
"San Diego-Chula Vista-Carlsbad, CA",3316073
"San Francisco-Oakland-Berkeley, CA",4701332
"San Germán, PR",125324
"San Jose-Sunnyvale-Santa Clara, CA",1987846
"San Juan-Bayamón-Caguas, PR",2100207
"San Luis Obispo-Paso Robles, CA",282165
"Santa Cruz-Watsonville, CA",273962
"Santa Fe, NM",149293
"Santa Maria-Santa Barbara, CA",444829
"Santa Rosa-Petaluma, CA",499772
"Savannah, GA",386036
"Scranton--Wilkes-Barre, PA",555642
"Seattle-Tacoma-Bellevue, WA",3871323
"Sebastian-Vero Beach, FL",153989
"Sebring-Avon Park, FL",103437
"Sheboygan, WI",115178
"Sherman-Denison, TX",131014
"Shreveport-Bossier City, LA",399619
"Sierra Vista-Douglas, AZ",125867
"Sioux City, IA-NE-SD",143846
"Sioux Falls, SD",259348
"South Bend-Mishawaka, IN-MI",321739
"Spartanburg, SC",307617
"Spokane-Spokane Valley, WA",550160
"Springfield, IL",209167
"Springfield, MA",699480
"Springfield, MO",462434
"Springfield, OH",134726
"State College, PA",161960
"Staunton, VA",121651
"Stockton, CA",742603
"Sumter, SC",140714
"Syracuse, NY",652416
"Tallahassee, FL",382197
"Tampa-St. Petersburg-Clearwater, FL",3097859
"Terre Haute, IN",186908
"Texarkana, TX-AR",149292
"The Villages, FL",125044
"Toledo, OH",644137
"Topeka, KS",232778
"Trenton-Princeton, NJ",367922
"Tucson, AZ",1027207
"Tulsa, OK",990544
"Tuscaloosa, AL",250681
"Twin Falls, ID",108599
"Tyler, TX",227449
"Urban Honolulu, HI",984821
"Utica-Rome, NY",292016
"Valdosta, GA",145315
"Vallejo, CA",441829
"Victoria, TX",99674
"Vineland-Bridgeton, NJ",151906
"Virginia Beach-Norfolk-Newport News, VA-NC",1761729
"Visalia, CA",461898
