msa,unemp
"Omaha-Council Bluffs, NE-IA",5.9
"Orlando-Kissimmee-Sanford, FL",10.5
"Oshkosh-Neenah, WI",5.7
"Owensboro, KY",6.8
"Oxnard-Thousand Oaks-Ventura, CA",9.4
"Palm Bay-Melbourne-Titusville, FL",12.1
"Panama City, FL",10.1
"Parkersburg-Vienna, WV",9.8
"Pensacola-Ferry Pass-Brent, FL",10.5
"Peoria, IL",8.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9.9
"Phoenix-Mesa-Scottsdale, AZ",9.1
"Pine Bluff, AR",12.9
"Pittsburgh, PA",7.4
"Pittsfield, MA",9.4
"Pocatello, ID",7.4
"Ponce, PR",23.4
"Portland-South Portland, ME",6.2
"Portland-Vancouver-Hillsboro, OR-WA",9.6
"Port St. Lucie, FL",12.7
"Prescott, AZ",10.9
"Providence-Warwick, RI-MA",9.7
"Provo-Orem, UT",6.7
"Pueblo, CO",11.1
"Punta Gorda, FL",12.6
"Racine, WI",9.4
"Raleigh, NC",8.0
"Rapid City, SD",4.9
"Reading, PA",9.4
"Redding, CA",12.2
"Reno, NV",10.6
"Richmond, VA",8.2
"Riverside-San Bernardino-Ontario, CA",14.1
"Roanoke, VA",6.6
"Rochester, MN",4.5
"Rochester, NY",7.8
"Rockford, IL",12.3
"Rocky Mount, NC",14.3
"Rome, GA",12.1
"Sacramento--Roseville--Arden-Arcade, CA",12.0
"Saginaw, MI",12.1
"St. Cloud, MN",6.7
"St. George, UT",9.4
"St. Joseph, MO-KS",8.1
"St. Louis, MO-IL",8.9
"Salem, OR",12.6
"Salinas, CA",9.6
"Salisbury, MD-DE",9.3
"Salt Lake City, UT",7.1
"San Angelo, TX",5.9
"San Antonio-New Braunfels, TX",7.6
"San Diego-Carlsbad, CA",9.6
"San Francisco-Oakland-Hayward, CA",8.7
"San Germán, PR",13.9
"San Jose-Sunnyvale-Santa Clara, CA",9.0
"San Juan-Carolina-Caguas, PR",16.9
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",8.0
"Santa Cruz-Watsonville, CA",8.7
"Santa Fe, NM",9.0
"Santa Maria-Santa Barbara, CA",8.9
"Santa Rosa, CA",9.6
"Savannah, GA",9.1
"Scranton--Wilkes-Barre--Hazleton, PA",8.2
"Seattle-Tacoma-Bellevue, WA",8.2
"Sebastian-Vero Beach, FL",13.6
"Sebring, FL",14.9
"Sheboygan, WI",6.8
"Sherman-Denison, TX",9.1
"Shreveport-Bossier City, LA",7.6
"Sierra Vista-Douglas, AZ",9.3
"Sioux City, IA-NE-SD",5.2
"Sioux Falls, SD",3.9
"South Bend-Mishawaka, IN-MI",10.3
"Spartanburg, SC",10.6
"Spokane-Spokane Valley, WA",9.2
"Springfield, IL",8.0
"Springfield, MA",9.9
"Springfield, MO",8.0
"Springfield, OH",10.8
"State College, PA",5.3
"Staunton-Waynesboro, VA",5.8
"Stockton-Lodi, CA",15.0
"Sumter, SC",13.9
"Syracuse, NY",8.0
"Tallahassee, FL",11.2
"Tampa-St. Petersburg-Clearwater, FL",10.4
"Terre Haute, IN",8.2
"Texarkana, TX-AR",8.6
"The Villages, FL",11.3
"Toledo, OH",11.2
"Topeka, KS",7.1
"Trenton, NJ",10.4
"Tucson, AZ",10.8
"Tulsa, OK",7.0
"Tuscaloosa, AL",9.1
"Tyler, TX",7.7
"Urban Honolulu, HI",5.9
"Utica-Rome, NY",8.3
"Valdosta, GA",13.5
"Vallejo-Fairfield, CA",12.1
"Victoria, TX",6.9
"Vineland-Bridgeton, NJ",13.3
"Virginia Beach-Norfolk-Newport News, VA-NC",8.3
"Visalia-Porterville, CA",13.5
"Waco, TX",7.0
"Walla Walla, WA",6.9
"Warner Robins, GA",10.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6.9
"Waterloo-Cedar Falls, IA",7.3
"Watertown-Fort Drum, NY",11.3
"Wausau, WI",6.8
"Weirton-Steubenville, WV-OH",8.6
"Wenatchee, WA",8.7
"Wheeling, WV-OH",7.7
"Wichita, KS",7.7
"Wichita Falls, TX",6.4
"Williamsport, PA",8.5
"Wilmington, NC",10.2
"Winchester, VA-WV",7.1
"Winston-Salem, NC",10.2
"Worcester, MA-CT",8.8
"Yakima, WA",10.0
"York-Hanover, PA",8.3
"Youngstown-Warren-Boardman, OH-PA",9.4
"Yuba City, CA",15.4
"Yuma, AZ",13.4
