Geographic Area Name,Year,Auto,Annual Excess Fuel Consumed,Annual Hours of Delay,Travel Time Index,Freeway,Truck-based Statistics,Arterial Street,msa
"Cartersville, GA",2014.0,36,512,1204,1.04,,67,,
"Casa, Grande",2014.0,31,371,704,1.04,,60,,
"Casper, WY",2014.0,39,390,965,1.07,,47,,
"Cedar, Rapids",2014.0,103,1133,2777,1.06,,123,,
"Champaign, IL",2014.0,84,758,1678,1.06,,71,,
"Charleston, WV",2014.0,96,951,2246,1.05,,242,,
"Charlottesville, VA",2014.0,56,1629,4277,1.19,,100,,
"Chattanooga, TN-GA",2014.0,223,4988,10646,1.11,,916,,
"Cheyenne, WY",2014.0,43,411,984,1.04,,49,,
"Chico, CA",2014.0,58,821,1812,1.09,,56,,
"Clarksville, TN-KY",2014.0,98,1791,3555,1.11,,264,,
"Cleveland, TN",2014.0,42,845,1729,1.07,,162,,
"Coeur, d'Alene",2014.0,59,983,2201,1.09,,69,,
"College, Station-Bryan",2014.0,101,2500,5130,1.15,,255,,
"Columbia, MO",2014.0,73,1033,2652,1.1,,142,,
"Columbus, GA-AL",2014.0,148,2520,5567,1.09,,295,,
"Columbus, IN",2014.0,32,299,665,1.04,,49,,
"Concord, CA",2014.0,359,10944,35040,1.2,,1638,,
"Concord, NC",2014.0,129,1921,4802,1.09,,274,,
"Conroe-The, Woodlands",2014.0,156,2416,6335,1.12,,269,,
"Conway, AR",2014.0,39,642,1452,1.05,,50,,
"Corvallis, OR",2014.0,35,337,764,1.1,,36,,
"Cumberland, MD-WV-PA",2014.0,29,534,1197,1.08,,84,,
"Dalton, GA",2014.0,48,668,1562,1.05,,81,,
"Danbury, CT-NY",2014.0,94,1431,3663,1.11,,171,,
"Danville, IL",2014.0,30,236,549,1.05,,32,,
"Davenport, IA-IL",2014.0,158,1723,4074,1.05,,192,,
"Davis, CA",2014.0,41,1008,3169,1.2,,175,,
"DeKalb, IL",2014.0,38,302,676,1.04,,22,,
"Decatur, AL",2014.0,51,706,1560,1.08,,79,,
"Decatur, IL",2014.0,39,512,1159,1.06,,56,,
"Deltona, FL",2014.0,106,1335,3039,1.08,,129,,
"Denton-Lewisville, TX",2014.0,220,4690,11416,1.16,,567,,
"Des, Moines",2014.0,268,3262,8295,1.07,,343,,
"Dothan, AL",2014.0,43,1279,2705,1.11,,156,,
"Dover, DE",2014.0,66,1274,2904,1.09,,140,,
"Dover-Rochester, NH-ME",2014.0,49,756,1829,1.08,,75,,
"Dubuque, IA-IL",2014.0,38,377,800,1.08,,32,,
"Duluth, MN-WI",2014.0,66,793,1877,1.07,,73,,
"Durham, NC",2014.0,207,4044,11604,1.15,,370,,
"Eau, Claire",2014.0,59,468,1314,1.05,,82,,
"El, Centro-Calexico",2014.0,63,837,1740,1.13,,81,,
"El, Paso",2014.0,37,922,2548,1.13,,160,,
"Elizabethtown-Radcliff, KY",2014.0,43,550,1284,1.08,,71,,
"Elkhart, IN-MI",2014.0,83,1009,2019,1.06,,144,,
"Elmira, NY",2014.0,37,362,835,1.04,,0,,
"Erie, PA",2014.0,109,1838,3969,1.09,,146,,
"Evansville, IN-KY",2014.0,127,1770,3959,1.09,,245,,
"Fairbanks, AK",2014.0,36,1038,2432,1.14,,86,,
"Fairfield, CA",2014.0,81,2670,8229,1.19,,334,,
"Fajardo, PR",2014.0,49,227,656,1.22,,131,,
"Fargo, ND-MN",2014.0,105,1215,2510,1.15,,75,,
"Farmington, NM",2014.0,30,463,926,1.07,,42,,
"Fayetteville, NC",2014.0,180,2606,6527,1.09,,184,,
"Fayetteville-Springdale-Rogers, AR-MO",2014.0,176,4503,10188,1.14,,487,,
"Flagstaff, AZ",2014.0,42,753,1449,1.08,,122,,
"Flint, MI",2014.0,197,2307,5616,1.05,,249,,
"Florence, AL",2014.0,44,995,2152,1.11,,82,,
"Florence, SC",2014.0,51,1262,2716,1.1,,169,,
"Florida-Imbrey-Barceloneta, PR",2014.0,41,460,695,1.12,,119,,
"Fond, du",2014.0,31,306,671,1.04,,44,,
"Fort, Collins",2014.0,158,2389,5871,1.1,,194,,
"Fort, Smith",2014.0,69,1344,3061,1.07,,109,,
"Fort, Walton",2014.0,117,2035,4739,1.13,,156,,
"Fort, Wayne",2014.0,178,2690,5806,1.08,,329,,
"Frederick, MD",2014.0,84,1356,3824,1.12,,207,,
"Fredericksburg, VA",2014.0,84,1732,4385,1.13,,211,,
"Gadsden, AL",2014.0,35,855,1864,1.1,,120,,
"Gainesville, FL",2014.0,107,2623,5523,1.17,,202,,
"Gainesville, GA",2014.0,79,1416,3267,1.08,,141,,
"Gastonia, NC-SC",2014.0,94,1597,4103,1.09,,206,,
"Gilroy-Morgan, Hill",2014.0,59,1181,3716,1.19,,173,,
"Glens, Falls",2014.0,36,686,1643,1.05,,71,,
"Goldsboro, NC",2014.0,34,489,1156,1.07,,49,,
"Grand, Forks",2014.0,37,835,1765,1.05,,56,,
"Grand, Junction",2014.0,74,595,1491,1.06,,47,,
"Great, Falls",2014.0,36,440,957,1.1,,28,,
"Greeley, CO",2014.0,74,1057,2660,1.14,,117,,
"Green, Bay",2014.0,118,1490,3380,1.05,,193,,
"Greenville, NC",2014.0,69,1760,3827,1.15,,125,,
"Greenville, SC",2014.0,234,5479,11862,1.13,,840,,
"Guayama, PR",2014.0,41,532,884,1.12,,177,,
"Gulfport, MS",2014.0,124,2012,4720,1.07,,142,,
