auto_commuters,annual_excess_fuel_consumed_commuters,ahd_ph,tti,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,ms_cara_per,ms_carp_per,ms_pt_per,ms_taxi_per,ms_bike_per,ms_walk_per,ms_wfh_per,unemp,med_hh_inc_dol,households
175,2706,6726,1.1,12496,31721,5.076984635083226,8388334.793999938,264.4410577850616,2.7586427656850194,10159,4447092.615000017,17167,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4480.834856328646,2375.52363943164,20.446091597870257,1872.0472998803807,71.84635718717126,100.0793461548836,5.1482210773339085,0.6031343565397999,1.5542308418525612,7.009953335311413,5.903487713430259,4.2,72586,141245
47,710,1818,1.06,10739,27487,5.119098612533755,6447881.509999957,234.5793105831832,2.646615141074588,8080,3334313.133000012,14184,235.0756579949247,1.0796032509137057,0.0071912013536379,6.769308928804128,5.093213161815565,4064.410268881064,2101.778160224029,1.6748064439185255,1586.4248644798015,84.37519859342895,100.1052598131633,0.3918910331094965,0.8197936746668926,0.0,1.347257821933188,2.539877560531277,8.1,47255,44605
128,1707,3821,1.05,11584,30380,5.245165745856354,9483610.090000046,312.166230743912,2.843232044198895,9387,4909793.807000009,16384,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3519.3312936359494,1822.005631430913,33.44992959305511,2694.719336923289,85.50369908332215,100.06338578636117,0.4934742959108746,0.6908640142752245,0.3781987003860942,2.131019399461521,4.464165870528136,2.6,67616,93455
175,3329,8689,1.08,39255,88100,4.488600178321233,23134697.787000045,262.5958886152105,2.301439307094637,24634,11965018.655000024,45156,264.9707382186204,1.1947501884902387,0.0079945079280715,7.427420555337016,4.660987847667101,4377.305563232045,2263.8956948958867,10.784282521444371,5285.145725563243,79.2053564306728,100.08752997039323,0.4358903376859806,0.9815743664575582,0.2177105669389612,1.9730020128843369,8.4334692460364,3.3,52735,191756
78,1587,3772,1.1,11515,28029,4.868258792878854,9397343.400999917,335.27216101180625,2.583673469387755,8571,4873670.081000014,14839,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3514.535508967868,1822.715828054798,16.278567026702095,2673.8507484192937,76.27869139438374,100.10321178857184,2.806067283829844,1.163616892010174,0.8917630340538147,2.9358157160362883,5.602866822502086,5.1,47214,78662
2417,121952,230899,1.3,250655,575914,4.5952723863477685,128448503.05699986,223.0341736040448,2.477213700105723,173864,68248984.79499905,310903,219.51857909058143,1.0890812833215182,0.0084174163645895,10.945396980942135,7.592150568289178,5608.983892468226,2980.2406978817435,445.2676842524541,22900.494192804013,77.34126738285919,100.09220514985196,3.0045644935533224,1.5657392424991767,0.1900209761597002,1.3221665821390085,7.355726337593317,5.2,68316,2104360
139,2063,5097,1.07,12717,33807,5.316820004718094,6918526.678000042,204.6477557310629,2.897538727687348,10507,3732094.506999977,18410,202.7210487235185,1.0510002610571572,0.0106463878326996,7.221586111836102,5.966596310219543,3928.8146710869446,2119.339613101426,5.7773978524866125,1760.970485300587,77.61252634362505,100.07817746187686,5.495500548908993,1.843853421265616,0.3942528827738735,3.660461724615964,3.1756588911237014,8.4,62110,99850
50,1181,2672,1.09,9142,21769,4.7624152264274775,5782902.4170000125,265.6485101290832,2.4784511047910742,6326,3006122.5040000025,11301,266.00499991151247,1.0777767976921095,0.0125652597115299,5.712743193802098,3.9530533191853054,3613.677141012746,1878.495501472472,4.330159621106172,1600.2819818539,83.05470198854792,100.08969447565416,0.7228622094675997,0.8352171970814776,0.2734422590120883,2.159110906555846,3.985217873918753,5.2,51463,60237
225,3749,8536,1.09,37974,94149,4.958603254858588,30318880.458000056,322.03082834655766,2.6260336019381683,28632,15798563.057000026,49810,317.17653196145403,1.083787966107795,0.0089540252961252,4.09306863524814,3.08613106768907,3267.953301166003,1702.865195412566,31.32629074635549,9277.635775022338,84.07494597843777,100.0875980409211,0.8191176413741384,1.5574445385070337,0.1457325865021473,1.5508730425639656,3.0920821205057734,7.0,53269,215210
893,30205,81069,1.35,87049,214823,4.935679904421647,47402749.31599899,220.65956306354065,2.704901836896461,67750,25931301.05200032,117895,219.9525090292236,1.0787937397568508,0.0038763306331905,7.855598299273483,6.113990795710215,4277.785579474192,2340.128943951595,152.28661676244275,11081.141968276386,76.25914249967488,100.09153037933244,2.024242478598367,1.1914958497199517,0.7616245958465809,1.8136566859643848,8.796799956950094,4.2,76844,764989
