Geographic Area Name,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!Households
"Saginaw, MI",77589,43566
"St. Cloud, MN",72216,54985
"St. George, UT",47905,49498
"St. Joseph, MO-KS",46985,46145
"St. Louis, MO-IL",1104257,54959
"Salem, OR",142136,48433
"Salinas, CA",125115,58582
"Salisbury, MD-DE",143830,53004
"Salt Lake City, UT",366510,61529
"San Angelo, TX",42986,45258
"San Antonio-New Braunfels, TX",771789,52786
"San Diego-Carlsbad, CA",1083811,63996
"San Francisco-Oakland-Hayward, CA",1642466,80008
"San Germán, PR",44202,15389
"San Jose-Sunnyvale-Santa Clara, CA",631835,92960
"San Juan-Carolina-Caguas, PR",792764,22254
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",102350,59454
"Santa Cruz-Watsonville, CA",94219,66923
"Santa Fe, NM",61313,52958
"Santa Maria-Santa Barbara, CA",142028,63409
"Santa Rosa, CA",186935,63799
"Savannah, GA",132980,50560
"Scranton--Wilkes-Barre--Hazleton, PA",225565,45812
"Seattle-Tacoma-Bellevue, WA",1381607,68969
"Sebastian-Vero Beach, FL",57342,44645
"Sebring, FL",39882,35911
"Sheboygan, WI",46433,53029
"Sherman-Denison, TX",46747,47631
"Shreveport-Bossier City, LA",170715,43779
"Sierra Vista-Douglas, AZ",48846,45974
"Sioux City, IA-NE-SD",64174,49843
"Sioux Falls, SD",92241,57356
"South Bend-Mishawaka, IN-MI",121563,45036
"Spartanburg, SC",120122,42588
"Spokane-Spokane Valley, WA",211284,49417
"Springfield, IL",88221,55842
"Springfield, MA",236512,52546
"Springfield, MO",177468,42880
"Springfield, OH",54969,43011
"State College, PA",57283,50295
"Staunton-Waynesboro, VA",47505,49262
"Stockton-Lodi, CA",217343,53253
"Sumter, SC",40024,40662
"Syracuse, NY",256796,53191
"Tallahassee, FL",143932,45377
"Tampa-St. Petersburg-Clearwater, FL",1134997,46706
"Terre Haute, IN",64201,42780
"Texarkana, TX-AR",55953,41818
"The Villages, FL",45868,49874
"Toledo, OH",244015,44775
"Topeka, KS",94100,50797
"Trenton, NJ",131475,74118
"Tucson, AZ",386155,46233
"Tulsa, OK",369720,49255
"Tuscaloosa, AL",81775,43567
"Tyler, TX",79089,46669
"Urban Honolulu, HI",310141,73581
"Utica-Rome, NY",117404,48094
"Valdosta, GA",51439,36289
"Vallejo-Fairfield, CA",142521,67341
"Victoria, TX",35185,50549
"Vineland-Bridgeton, NJ",50399,50603
"Virginia Beach-Norfolk-Newport News, VA-NC",626974,59244
"Visalia-Porterville, CA",132706,42863
"Waco, TX",91389,41876
"Walla Walla, WA",23404,47309
"Warner Robins, GA",66389,51404
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2112551,91756
"Waterloo-Cedar Falls, IA",66846,49897
"Watertown-Fort Drum, NY",44822,48613
"Wausau, WI",53392,53779
"Weirton-Steubenville, WV-OH",51232,40973
"Wenatchee, WA",41323,51547
"Wheeling, WV-OH",60436,41919
"Wichita, KS",241831,51059
"Wichita Falls, TX",55317,45892
"Williamsport, PA",46008,45877
"Wilmington, NC",107330,48581
"Winchester, VA-WV",50504,51872
"Winston-Salem, NC",256301,44589
"Worcester, MA-CT",344842,64629
"Yakima, WA",79717,43956
"York-Hanover, PA",168278,58906
"Youngstown-Warren-Boardman, OH-PA",230317,42543
"Yuba City, CA",56435,48546
"Yuma, AZ",69915,41380
