Geographic Area Name,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh
"Baltimore-Columbia-Towson, MD",0.7674022243478158,0.0891781379404583,0.06399752850242695,0.01009021560251665,0.00273364860770323,0.026154949827411046,0.04044329517166808
"Bangor, ME",0.8026385666769154,0.09627693769740336,0.0060653492467227545,0.01350029348464097,0.004234564105430863,0.03908935908544596,0.03819492970344076
"Barnstable Town, MA",0.8289256616567987,0.06462223571681595,0.014908152421436163,0.007580588026921714,0.0050402307575527555,0.026972319214614644,0.05195081220586003
"Baton Rouge, LA",0.8382326779909542,0.09683505749295152,0.010601021018754616,0.00940965277815214,0.002878690680912771,0.016538994398952025,0.0255039056393227
"Battle Creek, MI",0.8110833498103643,0.10700483525964805,0.006237305196556001,0.0086998723779052,0.002983840526306329,0.0359498858591124,0.02804091097010767
"Bay City, MI",0.8587773564824054,0.07851615335151556,0.0066963790771414,0.006452471229960753,0.004811636621654582,0.01931306680857669,0.02543293642874565
"Beaumont-Port Arthur, TX",0.8591482987374278,0.09277613035370365,0.004989147381614747,0.010730335361193482,0.0020237840481795114,0.01172082785607288,0.018611476261807956
"Beckley, WV",0.8303962259871629,0.09496269079857567,0.0004082465809348847,0.023338096210110907,0.0007938127962622757,0.025515411308430293,0.024585516318523053
"Bellingham, WA",0.7419723807924782,0.08930070517125588,0.027975990597716587,0.012760241773002015,0.016621893888515784,0.048113247145735394,0.06325554063129617
"Bend-Redmond, OR",0.764020997525496,0.09277244575400856,0.006365053709610516,0.011700256032497533,0.017478866591334945,0.02731966873113727,0.08034271165591521
"Billings, MT",0.792164618240497,0.10925613617888645,0.009961053614976765,0.00943934191528858,0.006964244549326021,0.03199427330413365,0.04022033219689157
"Binghamton, NY",0.802300189256078,0.09015140486242539,0.025831634881351,0.008407337312563693,0.0032118940165963023,0.03503057213568205,0.035066967535303535
"Birmingham-Hoover, AL",0.8524307183122128,0.09339322325435417,0.006293332898560767,0.007375508989602143,0.0009476683283130688,0.010454921557518372,0.02910462665943857
"Bismarck, ND",0.8090570776605357,0.11306798168369143,0.001163912584039083,0.004747538171738365,0.005314179824494234,0.019878401764246444,0.04677090831125473
"Blacksburg-Christiansburg-Radford, VA",0.7710350470475931,0.10090128063672316,0.024930885288174255,0.012744380942935422,0.007748286079119299,0.03916293715830058,0.04347718284715421
"Bloomington, IL",0.7995142255114644,0.09117613477128118,0.018154264539500316,0.011137521927320664,0.004712427730665034,0.045338952263314684,0.02996647325645364
"Bloomington, IN",0.708472775564409,0.10306772908366534,0.0401859229747676,0.005365205843293493,0.02662682602921647,0.07772908366533865,0.038552456839309426
"Bloomsburg-Berwick, PA",0.8190041750425235,0.08283078191845782,0.0060048451110767485,0.004664708004742024,0.0015205401783413225,0.04788412968403691,0.03809082006082161
"Boise City, ID",0.7919909558213069,0.0856688629418311,0.004140538057974598,0.015629471304163502,0.01353447209906202,0.019512108954090196,0.06952359082157178
"Boston-Cambridge-Newton, MA-NH",0.685185357647511,0.07372185896952882,0.1230666071765713,0.00966008522210153,0.008962036119067112,0.0529150005630111,0.04648905430220912
"Boulder, CO",0.6485628026919932,0.08416252594502799,0.054116611107616834,0.0138121894458771,0.04200264167557708,0.04928611862381282,0.10805711051009498
