MSA,households,med_hh_inc_dol,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh,unemp,auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti,dvmt_freeway,ahd_truck,vmt_arterial,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,pop_2014,electricity_kwh,nat_gas_cuft,fueloil_gal,vmt,hh_2014,cf_transport_phh,cf_housing_phh,cf_food_phh,cf_goods_phh,cf_services_phh,cf_phh,cf
"Ann Arbor, MI",136471,60805,0.7328732784806393,0.0760506060337963,0.0503406175351676,0.0065528325813205,0.0179775280898876,0.0628505706449615,0.0533545666342269,8.4,,,,,,,,12496.0,31721.0,5.076984635083226,8388334.793999938,264.4410577850616,2.7586427656850194,10159.0,4447092.615000017,17167.0,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4480.834856328646,2375.52363943164,20.446091597870257,1872.0472998803807,310313.0,10793.724254611434,65590.12912655233,12.806638155300035,22945.774750010474,126641.0,16.212216334416567,17.092564737742666,7.1906012961107,5.736758816768031,6.5925429284945,51.94433571020637,6578282.618676244
"Appleton, WI",88750,60413,0.8488769694937982,0.0698122695273214,0.0063275226282266,0.0097049949715051,0.005900100569896,0.0214800536372779,0.0378980891719745,4.5,124.0,1515.0,3465.0,1.06,,176.0,,11584.0,30380.0,5.245165745856354,9483610.090000046,312.166230743912,2.843232044198895,9387.0,4909793.807000009,16384.0,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3519.3312936359494,1822.005631430913,33.44992959305511,2694.719336923289,198815.0,21520.37877251333,117228.56764474898,161.67139226694275,55505.08815555586,77756.0,18.272680668869263,16.559625146791856,7.843095456469922,5.703925639317412,6.448043065884955,56.540425499410816,4396357.325132187
"Asheville, NC",181793,44820,0.8042956292392807,0.0957059469456163,0.0051120930159247,0.0080070192767412,0.0030840684484561,0.0223503018394077,0.061444941234573,8.1,163.0,2963.0,7882.0,1.08,,338.0,,39255.0,88100.0,4.488600178321233,23134697.787000045,262.5958886152105,2.301439307094637,24634.0,11965018.655000024,45156.0,264.9707382186204,1.1947501884902387,0.0079945079280715,7.427420555337016,4.660987847667101,4377.305563232045,2263.8956948958867,10.784282521444371,5285.145725563243,368518.0,40107.658478244215,106825.30841184656,1082.350926360658,88857.55073796862,175081.0,14.968001350355316,14.439024014025746,6.98928914523583,4.741887825233673,5.271401444216681,46.93858111539682,8218053.720264791
"Athens-Clarke County, GA",68975,41624,0.7913571352647305,0.093196017526662,0.0186132205831984,0.014054398790613,0.0100152354407057,0.0310259711117147,0.0417380212823753,8.6,,,,,,,,11515.0,28029.0,4.868258792878854,9397343.400999917,335.27216101180625,2.583673469387755,8571.0,4873670.081000014,14839.0,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3514.535508967868,1822.715828054798,16.278567026702095,2673.8507484192937,164194.0,51362.813936838495,129410.7802655833,19.579611481151183,110726.44473820418,67360.0,15.951849888023103,13.494858332911209,7.451094357150136,4.624701577661832,5.0467547592816,49.02625047013977,3302408.2316686152
"Atlantic City-Hammonton, NJ",101166,54392,0.7655289635005921,0.0804259741096673,0.0727732622302419,0.0190431693504861,0.0055743964426972,0.036257743336099,0.0203964910302161,12.8,,,,,,,,12717.0,33807.0,5.316820004718094,6918526.678000042,204.6477557310629,2.897538727687348,10507.0,3732094.506999977,18410.0,202.7210487235185,1.0510002610571572,0.0106463878326996,7.221586111836102,5.966596310219543,3928.8146710869446,2119.339613101426,5.7773978524866125,1760.970485300587,252646.0,9521.63349308552,54189.73750097205,134.07231153119932,18434.57135676005,113841.0,13.087553583345017,12.994348385089186,7.820231945093133,5.360252225398932,5.986821769687109,45.3424131068692,5161825.650499097
"Auburn-Opelika, AL",56637,43641,0.8371639103660105,0.0866986427804088,0.0093053517120334,0.0091540451801304,0.0058101708250745,0.0240577385725741,0.0278101405637681,8.4,,,,,,,,9142.0,21769.0,4.7624152264274775,5782902.4170000125,265.6485101290832,2.4784511047910742,6326.0,3006122.5040000025,11301.0,266.00499991151247,1.0777767976921095,0.0125652597115299,5.712743193802098,3.9530533191853054,3613.677141012746,1878.495501472472,4.330159621106172,1600.2819818539,113557.0,11882.267843920676,28456.71252798079,0.941547904420006,22894.77943235556,67911.0,15.317324707738834,13.283138857586088,7.323928951980064,4.424579657093736,4.794325651560264,47.17748367611173,3203870.093928424
"Augusta-Richmond County, GA-SC",208736,46144,0.8360462035935193,0.1043911915464411,0.0063452150182703,0.0098100640408381,0.0022958829688373,0.0181736377130314,0.0229378051190621,10.5,,,,,,,,37974.0,94149.0,4.958603254858588,30318880.458000056,322.03082834655766,2.6260336019381683,28632.0,15798563.057000026,49810.0,317.17653196145403,1.083787966107795,0.0089540252961252,4.09306863524814,3.08613106768907,3267.953301166003,1702.865195412566,31.32629074635549,9277.635775022338,504432.0,92854.66352666156,231973.68896738425,118.28080707964968,165363.5535135591,290037.0,16.3653681701071,15.38386487397319,8.011225526273511,5.210064671964557,5.757180147704875,51.70920668615715,14997583.179632962
"Bakersfield, CA",257737,48574,0.7677861697913072,0.148171222635433,0.0105240961545834,0.0208245472785594,0.0053419213025086,0.0176487878439341,0.029703254993674,13.2,271.0,3222.0,7834.0,1.12,2015.0,329.0,5345.0,41727.0,108328.0,5.192225657248304,35767635.07700043,330.1790402942954,2.744002684113404,32222.0,18978067.01999985,57222.0,331.6568281430193,1.0763729852558854,0.0028485547516689,1.9747034222298163,1.5248854140266288,1692.6803123066593,898.1248086778469,54.93725626128381,21130.76805877121,658764.0,8409.748545933215,40608.61011364892,0.3984902542907056,22564.29307308839,232488.0,15.154155148839113,8.591914101398656,9.371818724156144,5.014002199556606,5.29653698661649,49.990668208007456,11622230.470343238
"Baltimore-Columbia-Towson, MD",1032863,70311,0.7674022243478158,0.0891781379404583,0.0639975285024269,0.0100902156025166,0.0027336486077032,0.026154949827411,0.040443295171668,8.2,,,,,,,,91320.0,218780.0,4.791502409110819,42454624.83899869,194.05167217752395,2.663250109505037,68878.0,23469613.13700013,121763.0,192.74831547350288,1.0814034828480072,0.0195543802304476,11.327782353172497,8.543966194938845,5266.280662086817,2911.28635051572,151.80662617506303,8061.595566799057,1810736.0,64507.08774905815,209355.39113392608,793.3074982349235,143086.40652017485,770734.0,18.719054384527723,14.424549336392658,7.840722373480307,6.336748287453176,7.301976926020614,58.91755635600954,45409763.88049266
"Bangor, ME",62215,44543,0.8026385666769154,0.0962769376974033,0.0060653492467227,0.0135002934846409,0.0042345641054308,0.0390893590854459,0.0381949297034407,8.0,33.0,699.0,1591.0,1.09,,97.0,,9041.0,21349.0,4.7227076650812965,11606909.526999958,543.6746230268377,2.4425395420860525,6178.0,6016368.348000005,11001.0,546.8928595582224,1.09022333741624,0.0149077356603945,0.9821397226968388,0.6711269999802091,1260.878985091808,653.5686694996973,10.063578935071568,9205.411196662008,146681.0,6353.180827014686,21680.246588864426,668.336234389602,22541.957145097185,67696.0,15.262419339285278,14.976235307084162,7.172646968591708,4.637612764519222,5.105622018065685,47.44072042974717,3211547.0102121644
"Barnstable Town, MA",94371,61597,0.8289256616567987,0.0646222357168159,0.0149081524214361,0.0075805880269217,0.0050402307575527,0.0269723192146146,0.05195081220586,7.9,,,,,,,,23380.0,59937.0,5.127202737382378,9525890.585000051,158.93172139079456,2.653421727972626,18474.0,4922310.030000028,31060.0,158.4774639407607,1.120357534377341,0.0584352865421764,8.34070988676913,6.590516443463341,3398.3186391185163,1756.011973180671,29.236382332577,2803.1187173993067,224424.0,8013.846968090697,44144.57512752851,315.16196801335144,19853.23936388265,148253.0,14.127718348903503,12.9359838415583,6.9199204630520805,5.392580968908479,6.159716397188098,46.72765452695565,6927514.966584757
"Baton Rouge, LA",299156,51829,0.8382326779909542,0.0968350574929515,0.0106010210187546,0.0094096527781521,0.0028786906809127,0.016538994398952,0.0255039056393227,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,714596.0,133109.6832814059,266991.04391777137,19.863818681204595,223866.6405695945,285621.0,16.350075800876727,12.591273472046492,7.999379861070599,4.988263967047567,5.459290343253018,51.14708577312464,14608681.785605632
"Battle Creek, MI",52842,43199,0.8110833498103643,0.107004835259648,0.006237305196556,0.0086998723779052,0.0029838405263063,0.0359498858591124,0.0280409109701076,11.6,,,,,,,,6826.0,18810.0,5.511280398476414,6619370.204000018,351.90697522594456,2.848666861998242,5621.0,3439490.942000014,9661.0,356.0181080633489,1.042991410343491,0.0067280819790911,3.669016105001818,3.0213213486983914,3557.9513453626187,1848.747093349828,2.746272716522151,1860.4442729739987,138066.0,11128.459062415695,69856.95934370751,30.770698997550184,23003.17333738937,58922.0,15.714928578792472,18.034698736579887,7.429030246403894,4.975630628714464,5.521726759317953,49.35624479202126,2908168.6556354766
"Bay City, MI",43712,45715,0.8587773564824054,0.0785161533515155,0.0066963790771414,0.0064524712299607,0.0048116366216545,0.0193130668085766,0.0254329364287456,10.5,,,,,,,,4978.0,13969.0,5.61229409401366,4711197.50999999,337.26089984966643,2.904379268782644,3969.0,2461823.9550000075,7179.0,342.9201776013383,1.0299771884450994,0.0061289873241398,4.240714915161481,3.3811565886452226,4013.428193838608,2097.20642114712,1.1113924281334322,1173.8586770364034,106984.0,11131.19657317166,73318.9971705156,18.119627407418843,24294.7644414118,45260.0,16.4898795946707,18.105630222943315,7.389969621625663,4.93105367162948,5.469306873225831,50.77008935582237,2297854.244244521
"Beaumont-Port Arthur, TX",149713,44845,0.8591482987374278,0.0927761303537036,0.0049891473816147,0.0107303353611934,0.0020237840481795,0.0117208278560728,0.0186114762618079,9.5,,,,,,,,28576.0,72659.0,5.085316349384098,19188755.617000137,264.0933073260041,2.69138437849944,21535.0,10114921.832000006,38424.0,263.2448946491777,1.07307018788266,0.0045544451384551,4.210608380374783,3.173133100201951,2827.419345251416,1490.4106464394974,11.70227902745086,6786.667725545274,386935.0,37262.48815014053,83613.87694677668,1.6583954809934505,75700.7072987002,157529.0,15.752163440721237,11.687236676925776,7.794709261577086,4.807359551681015,5.244243886818672,49.35063958151924,7774156.902637145
