msa,unemp
"Pocatello, ID",5.6
"Ponce, PR",17.4
"Portland-South Portland, ME",3.3
"Portland-Vancouver-Hillsboro, OR-WA",4.7
"Port St. Lucie, FL",5.3
"Poughkeepsie-Newburgh-Middletown, NY",4.6
"Prescott Valley-Prescott, AZ",5.7
"Providence-Warwick, RI-MA",5.4
"Provo-Orem, UT",3.6
"Pueblo, CO",7.5
"Punta Gorda, FL",5.9
"Racine, WI",4.3
"Raleigh-Cary, NC",4.2
"Rapid City, SD",3.9
"Reading, PA",5.9
"Redding, CA",5.5
"Reno, NV",5.3
"Richmond, VA",5.0
"Riverside-San Bernardino-Ontario, CA",7.6
"Roanoke, VA",4.5
"Rochester, MN",3.0
"Rochester, NY",5.1
"Rockford, IL",7.8
"Rocky Mount, NC",7.1
"Rome, GA",5.4
"Sacramento-Roseville-Folsom, CA",6.0
"Saginaw, MI",6.9
"St. Cloud, MN",4.3
"St. George, UT",3.5
"St. Joseph, MO-KS",4.1
"St. Louis, MO-IL",5.0
"Salem, OR",5.7
"Salinas, CA",4.9
"Salisbury, MD-DE",5.5
"Salt Lake City, UT",3.6
"San Angelo, TX",3.9
"San Antonio-New Braunfels, TX",5.1
"San Diego-Chula Vista-Carlsbad, CA",6.0
"San Francisco-Oakland-Berkeley, CA",4.5
"San Germán, PR",14.8
"San Jose-Sunnyvale-Santa Clara, CA",4.4
"San Juan-Bayamón-Caguas, PR",15.9
"San Luis Obispo-Paso Robles, CA",4.0
"Santa Cruz-Watsonville, CA",5.7
"Santa Fe, NM",4.1
"Santa Maria-Santa Barbara, CA",5.8
"Santa Rosa-Petaluma, CA",4.4
"Savannah, GA",6.9
"Scranton--Wilkes-Barre, PA",5.2
"Seattle-Tacoma-Bellevue, WA",4.4
"Sebastian-Vero Beach, FL",6.5
"Sebring-Avon Park, FL",9.5
"Sheboygan, WI",3.1
"Sherman-Denison, TX",4.6
"Shreveport-Bossier City, LA",6.4
"Sierra Vista-Douglas, AZ",6.3
"Sioux City, IA-NE-SD",3.9
"Sioux Falls, SD",2.7
"South Bend-Mishawaka, IN-MI",4.8
"Spartanburg, SC",5.5
"Spokane-Spokane Valley, WA",5.6
"Springfield, IL",5.8
"Springfield, MA",5.6
"Springfield, MO",3.8
"Springfield, OH",6.7
"State College, PA",4.1
"Staunton, VA",3.8
"Stockton, CA",7.8
"Sumter, SC",9.8
"Syracuse, NY",5.4
"Tallahassee, FL",7.0
"Tampa-St. Petersburg-Clearwater, FL",5.5
"Terre Haute, IN",6.3
"Texarkana, TX-AR",6.4
"The Villages, FL",3.7
"Toledo, OH",6.2
"Topeka, KS",4.1
"Trenton-Princeton, NJ",6.1
"Tucson, AZ",7.0
"Tulsa, OK",5.4
"Tuscaloosa, AL",6.5
"Twin Falls, ID",3.4
"Tyler, TX",5.4
"Urban Honolulu, HI",4.0
"Utica-Rome, NY",4.9
"Valdosta, GA",6.5
"Vallejo, CA",6.0
"Victoria, TX",5.6
"Vineland-Bridgeton, NJ",7.3
"Virginia Beach-Norfolk-Newport News, VA-NC",5.6
"Visalia, CA",9.5
"Waco, TX",4.2
"Walla Walla, WA",4.7
"Warner Robins, GA",6.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.7
"Waterloo-Cedar Falls, IA",3.9
"Watertown-Fort Drum, NY",6.2
"Wausau-Weston, WI",2.9
"Weirton-Steubenville, WV-OH",6.0
"Wenatchee, WA",4.0
"Wheeling, WV-OH",5.3
"Wichita, KS",4.8
"Wichita Falls, TX",4.8
"Williamsport, PA",5.0
"Wilmington, NC",5.5
"Winchester, VA-WV",3.5
"Winston-Salem, NC",5.5
"Worcester, MA-CT",5.1
"Yakima, WA",6.4
"Yauco, PR",22.5
"York-Hanover, PA",4.4
"Youngstown-Warren-Boardman, OH-PA",6.2
"Yuba City, CA",7.8
"Yuma, AZ",10.0
