msa,municipality
"Fort Collins, CO","['Larimer County, CO']"
"Fort Smith, AR-OK","['Crawford County, AR', 'Franklin County, AR', 'Sebastian County, AR', 'Sequoyah County, OK']"
"Fort Wayne, IN","['Allen County, IN', 'Whitley County, IN']"
"Fresno, CA","['Fresno County, CA']"
"Gadsden, AL","['Etowah County, AL']"
"Gainesville, FL","['Alachua County, FL', 'Gilchrist County, FL', 'Levy County, FL']"
"Gainesville, GA","['Hall County, GA']"
"Gettysburg, PA","['Adams County, PA']"
"Glens Falls, NY","['Warren County, NY', 'Washington County, NY']"
"Goldsboro, NC","['Wayne County, NC']"
"Grand Forks, ND-MN","['Polk County, MN', 'Grand Forks County, ND']"
"Grand Island, NE","['Hall County, NE', 'Howard County, NE', 'Merrick County, NE']"
"Grand Junction, CO","['Mesa County, CO']"
"Grand Rapids-Kentwood, MI","['Ionia County, MI', 'Kent County, MI', 'Montcalm County, MI', 'Ottawa County, MI']"
"Grants Pass, OR","['Josephine County, OR']"
"Great Falls, MT","['Cascade County, MT']"
"Greeley, CO","['Weld County, CO']"
"Green Bay, WI","['Brown County, WI', 'Kewaunee County, WI', 'Oconto County, WI']"
"Greensboro-High Point, NC","['Guilford County, NC', 'Randolph County, NC', 'Rockingham County, NC']"
"Greenville, NC","['Pitt County, NC']"
"Greenville-Anderson, SC","['Anderson County, SC', 'Greenville County, SC', 'Laurens County, SC', 'Pickens County, SC']"
"Gulfport-Biloxi, MS","['Hancock County, MS', 'Harrison County, MS', 'Jackson County, MS', 'Stone County, MS']"
"Hagerstown-Martinsburg, MD-WV","['Washington County, MD', 'Berkeley County, WV', 'Morgan County, WV']"
"Hammond, LA","['Tangipahoa County, LA']"
"Hanford-Corcoran, CA","['Kings County, CA']"
"Harrisburg-Carlisle, PA","['Cumberland County, PA', 'Dauphin County, PA', 'Perry County, PA']"
"Harrisonburg, VA","['Rockingham County, VA', 'Harrisonburg, VA']"
"Hartford-East Hartford-Middletown, CT","['Hartford County, CT', 'Middlesex County, CT', 'Tolland County, CT']"
"Hattiesburg, MS","['Covington County, MS', 'Forrest County, MS', 'Lamar County, MS', 'Perry County, MS']"
"Hickory-Lenoir-Morganton, NC","['Alexander County, NC', 'Burke County, NC', 'Caldwell County, NC', 'Catawba County, NC']"
"Hilton Head Island-Bluffton, SC","['Beaufort County, SC', 'Jasper County, SC']"
"Hinesville, GA","['Liberty County, GA', 'Long County, GA']"
"Homosassa Springs, FL","['Citrus County, FL']"
"Hot Springs, AR","['Garland County, AR']"
"Houma-Thibodaux, LA","['Lafourche County, LA', 'Terrebonne County, LA']"
"Houston-The Woodlands-Sugar Land, TX","['Austin County, TX', 'Brazoria County, TX', 'Chambers County, TX', 'Fort Bend County, TX', 'Galveston County, TX', 'Harris County, TX', 'Liberty County, TX', 'Montgomery County, TX', 'Waller County, TX']"
"Huntington-Ashland, WV-KY-OH","['Boyd County, KY', 'Carter County, KY', 'Greenup County, KY', 'Lawrence County, OH', 'Cabell County, WV', 'Putnam County, WV', 'Wayne County, WV']"
"Huntsville, AL","['Limestone County, AL', 'Madison County, AL']"
"Idaho Falls, ID","['Bonneville County, ID', 'Butte County, ID', 'Jefferson County, ID']"
"Indianapolis-Carmel-Anderson, IN","['Boone County, IN', 'Brown County, IN', 'Hamilton County, IN', 'Hancock County, IN', 'Hendricks County, IN', 'Johnson County, IN', 'Madison County, IN', 'Marion County, IN', 'Morgan County, IN', 'Putnam County, IN', 'Shelby County, IN']"
"Iowa City, IA","['Johnson County, IA', 'Washington County, IA']"
"Ithaca, NY","['Tompkins County, NY']"
"Jackson, MI","['Jackson County, MI']"
"Jackson, MS","['Copiah County, MS', 'Hinds County, MS', 'Holmes County, MS', 'Madison County, MS', 'Rankin County, MS', 'Simpson County, MS', 'Yazoo County, MS']"
"Jackson, TN","['Chester County, TN', 'Crockett County, TN', 'Gibson County, TN', 'Madison County, TN']"
"Jacksonville, FL","['Baker County, FL', 'Clay County, FL', 'Duval County, FL', 'Nassau County, FL', 'St. Johns County, FL']"
"Jacksonville, NC","['Onslow County, NC']"
"Janesville-Beloit, WI","['Rock County, WI']"
"Jefferson City, MO","['Callaway County, MO', 'Cole County, MO', 'Moniteau County, MO', 'Osage County, MO']"
"Johnson City, TN","['Carter County, TN', 'Unicoi County, TN', 'Washington County, TN']"
"Johnstown, PA","['Cambria County, PA']"
"Jonesboro, AR","['Craighead County, AR', 'Poinsett County, AR']"
"Joplin, MO","['Jasper County, MO', 'Newton County, MO']"
"Kahului-Wailuku-Lahaina, HI","['Maui County, HI', 'Kalawao County, HI']"
"Kalamazoo-Portage, MI","['Kalamazoo County, MI']"
"Kankakee, IL","['Kankakee County, IL']"
"Kansas City, MO-KS","['Johnson County, KS', 'Leavenworth County, KS', 'Linn County, KS', 'Miami County, KS', 'Wyandotte County, KS', 'Bates County, MO', 'Caldwell County, MO', 'Cass County, MO', 'Clay County, MO', 'Clinton County, MO', 'Jackson County, MO', 'Lafayette County, MO', 'Platte County, MO', 'Ray County, MO']"
"Kennewick-Richland, WA","['Benton County, WA', 'Franklin County, WA']"
"Killeen-Temple, TX","['Bell County, TX', 'Coryell County, TX', 'Lampasas County, TX']"
"Kingsport-Bristol, TN-VA","['Hawkins County, TN', 'Sullivan County, TN', 'Scott County, VA', 'Washington County, VA', 'Bristol, VA']"
"Kingston, NY","['Ulster County, NY']"
"Knoxville, TN","['Anderson County, TN', 'Blount County, TN', 'Campbell County, TN', 'Knox County, TN', 'Loudon County, TN', 'Morgan County, TN', 'Roane County, TN', 'Union County, TN']"
"Kokomo, IN","['Howard County, IN']"
"La Crosse-Onalaska, WI-MN","['Houston County, MN', 'La Crosse County, WI']"
"Lafayette, LA","['Acadia County, LA', 'Iberia County, LA', 'Lafayette County, LA', 'St. Martin County, LA', 'Vermilion County, LA']"
"Lafayette-West Lafayette, IN","['Benton County, IN', 'Carroll County, IN', 'Tippecanoe County, IN', 'Warren County, IN']"
"Lake Charles, LA","['Calcasieu County, LA', 'Cameron County, LA']"
"Lake Havasu City-Kingman, AZ","['Mohave County, AZ']"
"Lakeland-Winter Haven, FL","['Polk County, FL']"
"Lancaster, PA","['Lancaster County, PA']"
"Lansing-East Lansing, MI","['Clinton County, MI', 'Eaton County, MI', 'Ingham County, MI', 'Shiawassee County, MI']"
"Laredo, TX","['Webb County, TX']"
"Las Cruces, NM","['Doña Ana County, NM']"
"Las Vegas-Henderson-Paradise, NV","['Clark County, NV']"
"Lawrence, KS","['Douglas County, KS']"
"Lawton, OK","['Comanche County, OK', 'Cotton County, OK']"
"Lebanon, PA","['Lebanon County, PA']"
"Lewiston, ID-WA","['Nez Perce County, ID', 'Asotin County, WA']"
"Lewiston-Auburn, ME","['Androscoggin County, ME']"
"Lexington-Fayette, KY","['Bourbon County, KY', 'Clark County, KY', 'Fayette County, KY', 'Jessamine County, KY', 'Scott County, KY', 'Woodford County, KY']"
"Lima, OH","['Allen County, OH']"
"Lincoln, NE","['Lancaster County, NE', 'Seward County, NE']"
"Little Rock-North Little Rock-Conway, AR","['Faulkner County, AR', 'Grant County, AR', 'Lonoke County, AR', 'Perry County, AR', 'Pulaski County, AR', 'Saline County, AR']"
"Logan, UT-ID","['Franklin County, ID', 'Cache County, UT']"
"Longview, TX","['Gregg County, TX', 'Harrison County, TX', 'Rusk County, TX', 'Upshur County, TX']"
"Longview, WA","['Cowlitz County, WA']"
"Los Angeles-Long Beach-Anaheim, CA","['Los Angeles County, CA', 'Orange County, CA']"
"Louisville/Jefferson County, KY-IN","['Clark County, IN', 'Floyd County, IN', 'Harrison County, IN', 'Washington County, IN', 'Bullitt County, KY', 'Henry County, KY', 'Jefferson County, KY', 'Oldham County, KY', 'Shelby County, KY', 'Spencer County, KY']"
"Lubbock, TX","['Crosby County, TX', 'Lubbock County, TX', 'Lynn County, TX']"
"Lynchburg, VA","['Amherst County, VA', 'Appomattox County, VA', 'Bedford County, VA', 'Campbell County, VA', 'Lynchburg, VA']"
"Macon-Bibb County, GA","['Bibb County, GA', 'Crawford County, GA', 'Jones County, GA', 'Monroe County, GA', 'Twiggs County, GA']"
