msa osm,msa (old),auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti
"Jacksonville, FL","Jacksonville, FL",560,11615,32579,1.18
"Jacksonville, NC","Jacksonville, NC",59,890,2087,1.1
"Janesville-Beloit, WI","Janesville, WI",40,561,1310,1.07
"Jefferson City, MO","Jefferson, City",32,588,1665,1.1
"Johnson City, TN","Johnson, City",68,947,2177,1.06
"Johnstown, PA","Johnstown, PA",38,377,842,1.06
"Jonesboro, AR","Jonesboro, AR",39,717,1711,1.09
"Joplin, MO","Joplin, MO",47,815,1796,1.08
"Kalamazoo-Portage, MI","Kalamazoo, MI",119,1667,3679,1.06
"Kankakee, IL","Kankakee, IL",45,529,1140,1.06
"Kansas City, MO-KS","Kansas, City",831,18820,45800,1.15
"Kennewick-Richland, WA","Kennewick-Pasco, WA",128,1320,3119,1.07
"Killeen-Temple, TX","Killeen, TX",128,1363,3262,1.09
"Kingsport-Bristol, TN-VA","Kingsport, TN-VA",58,763,1947,1.05
"Kingston, NY","Kingston, NY",60,913,2314,1.04
"Knoxville, TN","Knoxville, TN",310,7126,15975,1.14
"Kokomo, IN","Kokomo, IN",34,313,718,1.05
"La Crosse-Onalaska, WI-MN","La, Crosse",56,817,1736,1.07
"Lafayette-West Lafayette, IN","Lafayette, IN",87,1330,2729,1.1
"Lake Havasu City-Kingman, AZ","Lake, Havasu",30,200,498,1.07
"Lakeland-Winter Haven, FL","Lakeland, FL",152,2205,4631,1.09
"Lancaster, PA","Lancaster, PA",229,4027,8780,1.09
"Lansing-East Lansing, MI","Lansing, MI",175,2051,4877,1.05
"Laredo, TX","Laredo, TX",132,2516,5317,1.17
"Las Cruces, NM","Las, Cruces",75,1244,2636,1.07
"Las Vegas-Henderson-Paradise, NV","Las, Vegas-Henderson",982,22420,54272,1.24
"Lawrence, KS","Lawrence, KS",51,694,1464,1.08
"Lawton, OK","Lawton, OK",53,301,730,1.04
"Lebanon, PA","Lebanon, PA",45,305,665,1.08
"Lewiston, ID-WA","Lewiston, ID-WA",30,327,678,1.07
"Lewiston-Auburn, ME","Lewiston, ME",33,648,1478,1.08
"Lexington-Fayette, KY","Lexington-Fayette, KY",176,5218,10942,1.18
"Lima, OH","Lima, OH",41,461,958,1.06
"Lincoln, NE","Lincoln, NE",149,2099,4553,1.09
"Little Rock-North Little Rock-Conway, AR","Little, Rock",242,9109,17577,1.13
"Logan, UT-ID","Logan, UT",56,434,741,1.07
"Longview, TX","Longview, TX",57,1200,2899,1.13
"Longview, WA","Longview, WA-OR",37,654,1491,1.08
"Los Angeles-Long Beach-Anaheim, CA","Los, Angeles-Long",5881,334247,897650,1.48
"Louisville/Jefferson County, KY-IN","Louisville-Jefferson, County",585,11966,27237,1.18
"Lubbock, TX","Lubbock, TX",139,2056,4620,1.09
"Lynchburg, VA","Lynchburg, VA",67,1557,3599,1.11
"Macon-Bibb County, GA","Macon, GA",77,1593,3676,1.06
"Madera, CA","Madera, CA",48,563,1285,1.1
"Madison, WI","Madison, WI",194,4774,10151,1.15
"Manhattan, KS","Manhattan, KS",33,338,766,1.08
"Mankato, MN","Mankato, MN",33,267,694,1.06
"Mansfield, OH","Mansfield, OH",43,469,1075,1.04
"McAllen-Edinburg-Mission, TX","McAllen, TX",381,7855,16823,1.15
