MSA,pop_2014,electricity_kwh,nat_gas_cuft,fueloil_gal,vmt,hh_2014,cf_transport_phh,cf_housing_phh,cf_food_phh,cf_goods_phh,cf_services_phh,cf_phh,cf,msa
"Asheville, NC",368518,40107.658478244215,106825.30841184656,1082.3509263606581,88857.55073796862,175081.0,14.968001350355317,14.439024014025746,6.98928914523583,4.741887825233673,5.271401444216681,46.93858111539682,8218053.720264791,0.0
"Athens-Clarke County, GA",164194,51362.813936838495,129410.7802655833,19.579611481151186,110726.44473820418,67360.0,15.951849888023105,13.494858332911207,7.451094357150136,4.624701577661832,5.0467547592816,49.02625047013977,3302408.2316686152,0.0
"Atlanta-Sandy Springs-Alpharetta, GA",4262856,414037.35521107033,1069843.8241086379,171.40319940564677,827292.2866899208,2089256.0,17.3613732053635,16.41017456566177,8.084271449644433,5.939305848471176,6.730948287553275,55.47727199639588,115906223.38210207,0.0
"Atlantic City-Hammonton, NJ",252646,9521.63349308552,54189.73750097205,134.07231153119932,18434.57135676005,113841.0,13.087553583345017,12.994348385089186,7.820231945093133,5.3602522253989315,5.986821769687109,45.3424131068692,5161825.650499097,0.0
"Auburn-Opelika, AL",113557,11882.267843920677,28456.71252798079,0.9415479044200059,22894.779432355557,67911.0,15.317324707738834,13.283138857586087,7.323928951980064,4.424579657093736,4.794325651560264,47.17748367611173,3203870.0939284237,0.0
"Augusta-Richmond County, GA-SC",504432,92854.66352666156,231973.68896738425,118.28080707964969,165363.5535135591,290037.0,16.3653681701071,15.38386487397319,8.011225526273511,5.210064671964557,5.757180147704875,51.70920668615715,14997583.179632962,0.0
"Austin-Round Rock-Georgetown, TX",1256103,62891.682733052825,137019.09259057918,5.153642179014728,144420.65516413108,1160429.0,19.64160607453515,13.099161440091176,8.159399465581561,5.926405206439877,6.701421036132675,60.07043785722442,69707478.13222107,0.0
"Bakersfield, CA",658764,8409.748545933215,40608.61011364892,0.39849025429070567,22564.29307308839,232488.0,15.154155148839111,8.591914101398656,9.371818724156144,5.014002199556606,5.29653698661649,49.990668208007456,11622230.470343238,0.0
"Baltimore-Columbia-Towson, MD",1810736,64507.08774905815,209355.39113392608,793.3074982349235,143086.40652017485,770734.0,18.719054384527723,14.424549336392658,7.840722373480307,6.336748287453176,7.301976926020614,58.91755635600954,45409763.88049266,0.0
"Bangor, ME",146681,6353.180827014686,21680.246588864426,668.336234389602,22541.957145097185,67696.0,15.262419339285278,14.976235307084162,7.172646968591708,4.637612764519222,5.105622018065685,47.44072042974717,3211547.0102121644,0.0
"Barnstable Town, MA",224424,8013.846968090697,44144.57512752851,315.16196801335144,19853.23936388265,148253.0,14.127718348903503,12.9359838415583,6.9199204630520805,5.3925809689084785,6.159716397188098,46.727654526955654,6927514.966584757,0.0
"Baton Rouge, LA",714596,133109.6832814059,266991.04391777137,19.863818681204595,223866.6405695945,285621.0,16.350075800876727,12.591273472046492,7.999379861070599,4.988263967047567,5.459290343253018,51.14708577312464,14608681.785605632,0.0
"Battle Creek, MI",138066,11128.459062415695,69856.95934370751,30.770698997550184,23003.173337389366,58922.0,15.714928578792472,18.034698736579887,7.429030246403894,4.975630628714464,5.521726759317953,49.35624479202126,2908168.6556354766,0.0
"Bay City, MI",106984,11131.196573171661,73318.9971705156,18.119627407418843,24294.7644414118,45260.0,16.4898795946707,18.105630222943315,7.389969621625663,4.9310536716294795,5.469306873225831,50.77008935582237,2297854.2442445206,0.0
