msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Champaign-Urbana, IL",10905,31189,5.720128381,12025524.02,385.5694,2.981292985,9329,6257414.635,16189,386.5226163,1.0277262,0.019828278,2.927356412,2.50429234,3228.15175,1679.750835,10.81752158,3725.204063
"Charleston, WV",19782,45587,4.608937418,17886359.72,392.3565868,2.399454049,12998,9318266.83,23627,394.3906052,1.168851043,0.006179371,2.86430973,1.882029009,2589.832887,1349.226688,13.04791451,6906.376009
"Charleston-North Charleston, SC",43999,105673,4.803427351,25334051.7,239.7400632,2.558285416,32118,13318320.74,56448,235.939639,1.084531167,0.010894983,5.583251257,4.075612261,3214.763427,1690.027752,29.04756082,7880.533756
"Charlotte-Concord-Gastonia, NC-SC",129839,307364,4.734540469,72915066.42,237.2270872,2.519535733,91507,38486169.04,163720,235.0731068,1.073943359,0.007940386,8.783879886,6.190639921,4932.856732,2603.669823,160.8779487,14781.50905
"Charlottesville, VA",13047,29496,4.521499195,11219546.87,380.375199,2.399938683,8629,5836539.311,15628,373.4668103,1.128937925,0.016124904,3.036180145,2.008063039,2610.911737,1358.226778,5.652871173,4297.175852
"Chattanooga, TN-GA",33250,80732,4.85606015,21448346.2,265.6734158,2.510827068,23525,11179346.88,41691,268.1477269,1.114239175,0.009402509,5.978718911,4.230056011,3856.650618,2010.170605,41.29371206,5561.39208
"Cheyenne, WY",6626,18189,5.49019016,8465060.044,465.3944716,2.889224268,5492,4472443.616,9546,468.5149399,1.072648558,0.002618898,0.953518214,0.790329313,1218.169172,643.609485,4.947734085,6949.002027
"Chicago-Naperville-Elgin, IL-IN-WI",264614,704691,5.326180777,131327439.6,186.3617381,2.892110773,218762,71755042.28,383224,187.2404711,1.05854223,0.012705363,10.66710724,8.818723556,5294.065629,2892.585923,334.4766885,24806.53789
"Chico, CA",13425,32244,4.803575419,10575261.23,327.9760958,2.476424581,9020,5410187.616,16600,325.9149166,1.14532689,0.00439759,3.092410984,2.077731625,2435.981675,1246.221498,7.338830056,4341.2729
"Cincinnati, OH-KY-IN",79943,190256,4.759791351,51731287.07,271.9035776,2.524361107,55840,27295976.97,101209,269.6991075,1.077466845,0.009159264,6.660834129,4.652577183,4310.240076,2274.295123,142.4789946,12001.95027
"Clarksville, TN-KY",17867,44029,4.928527453,16351882.21,371.3889075,2.558683607,13006,8510266.797,22809,373.1100354,1.098384506,0.008724626,3.078206051,2.240731398,2817.174833,1466.186531,5.439656462,5804.354779
"Cleveland, TN",7410,18105,4.886639676,6093387.562,336.5582746,2.547368421,5379,3153172.187,9395,335.6223722,1.129790839,0.00777009,3.696985467,2.683682163,3040.103274,1573.175675,4.206522086,2004.335713
"Cleveland-Elyria, OH",56679,149681,5.281709275,34623033.72,231.3121486,2.774307945,46048,18464610.53,78691,234.6470439,1.058641381,0.022785325,5.50598819,4.473257188,3363.397638,1793.714206,57.85508304,10294.06494
"Coeur d'Alene, ID",10319,26047,5.048357399,9557349.553,366.9270762,2.663339471,7775,4971967.375,13715,362.5204065,1.215881015,0.005176814,3.025890879,2.279901307,2802.54839,1457.95433,2.297386408,3410.235337
"College Station-Bryan, TX",15470,38345,4.957336781,12708179.94,331.4168717,2.664124111,11613,6708741.131,20592,325.793567,1.075942408,0.004613442,2.792992666,2.096640196,2294.366734,1211.212978,6.270639151,5538.861663
"Colorado Springs, CO",37008,91141,4.925475573,20661306.54,226.6960703,2.679609814,28150,11026795.96,49654,222.0726621,1.10015363,0.007652958,5.317528875,4.044758913,2968.739034,1584.395426,35.79102937,6959.623702
"Columbia, MO",13860,34171,4.930880231,12692942.32,371.4536395,2.574603175,10133,6554215.299,17795,368.3178027,1.086043626,0.008766507,3.094361064,2.262277104,2833.805663,1463.283451,5.401290671,4479.115305
"Columbia, SC",50727,125470,4.946872474,37973470.13,302.6497978,2.585526445,37579,19622567.78,65592,299.160992,1.080321004,0.00910172,5.107705333,3.783832253,3823.55148,1975.797783,44.48222709,9931.465637
"Columbus, GA-AL",20876,52155,4.996646867,17559227.33,336.6739014,2.636280897,15725,9247185.598,27444,336.947442,1.083183609,0.005830054,2.862722049,2.156366365,2407.893621,1268.064864,15.59381207,7292.360082
"Columbus, IN",4766,12698,5.328577423,3801103.612,299.3466382,2.875786823,3972,1975485.805,6813,289.9582864,1.059961629,0.015411713,4.484794818,3.737642681,3576.829581,1858.927508,4.749489744,1062.701906
"Columbus, OH",78973,203726,5.159383587,51632759.87,253.4421717,2.717346435,62243,27267990.77,107271,254.1972273,1.067825997,0.012743426,6.28641928,4.954675588,4110.077838,2170.590238,79.25886332,12562.47738
"Corpus Christi, TX",18373,49267,5.362978283,13539040.27,274.8095128,2.915582648,15654,7410486.076,26774,276.7791916,1.046861376,0.002091581,3.526640218,3.004736623,2598.776679,1422.419759,29.25711022,5209.774421
"Corvallis, OR",4224,10374,4.911931818,3355752.564,323.4772088,2.53125,2948,1693206.594,5329,317.7343956,1.128175334,0.003377744,2.401992137,1.676390345,1908.260244,962.8477568,6.088230391,1758.540311
