Geographic Area Name,Geography,Estimate!!Total,"Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad,Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat,Estimate!!Total!!Bicycle,Estimate!!Total!!Walked,"Estimate!!Total!!Taxicab, motorcycle, or other means",Estimate!!Total!!Worked at home
"Wausau, WI",310M200US48140,68815,62696,56322,6374,5094,703,577,286,279,0,0,0,7,471,1487,771,3104
"Weirton-Steubenville, WV-OH",310M200US48260,50477,46550,42317,4233,3487,387,359,415,349,0,43,23,0,9,1694,373,1436
"Wenatchee, WA",310M200US48300,49066,43295,38488,4807,2946,1114,747,513,472,37,0,0,4,238,1617,1345,2058
"Wheeling, WV-OH",310M200US48540,62026,57652,52384,5268,4281,566,421,521,521,0,0,0,0,79,1989,470,1315
"Wichita, KS",310M200US48620,296357,277337,251927,25410,20142,3169,2099,1283,1216,0,8,26,33,832,4284,2906,9715
"Wichita Falls, TX",310M200US48660,69544,61780,56033,5747,4653,647,447,381,338,12,31,0,0,111,2444,672,4156
"Williamsport, PA",310M200US48700,52779,47912,43253,4659,4019,347,293,794,791,0,0,0,3,226,2058,455,1334
"Wilmington, NC",310M200US48900,122593,109534,96801,12733,10392,1437,904,1014,935,0,5,0,74,993,2239,1779,7034
"Winchester, VA-WV",310M200US49020,60353,56050,48354,7696,6018,984,694,215,200,0,0,0,15,72,1395,557,2064
"Winston-Salem, NC",310M200US49180,281446,261907,237821,24086,19022,2773,2291,1911,1864,0,11,15,21,343,3639,3183,10463
"Worcester, MA-CT",310M200US49340,447119,406176,366534,39642,31624,4828,3190,6508,3230,106,505,2644,23,645,12585,3231,17974
"Yakima, WA",310M200US49420,97871,90577,77322,13255,9482,1814,1959,941,874,25,25,0,17,201,1701,1110,3341
"York-Hanover, PA",310M200US49620,211523,196138,179470,16668,13442,1970,1256,1745,1554,20,23,148,0,579,4043,2087,6931
"Youngstown-Warren-Boardman, OH-PA",310M200US49660,233926,218642,201442,17200,13233,1815,2152,1638,1602,11,25,0,0,255,3936,2339,7116
"Yuba City, CA",310M200US49700,62022,56208,47127,9081,6051,1244,1786,658,658,0,0,0,0,354,1171,817,2814
"Yuma, AZ",310M200US49740,71855,65140,55751,9389,7024,1209,1156,719,689,21,0,9,0,390,2071,1002,2533
