msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,ahd_truck,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh,unemp,med_hh_inc_dol,households
"Hanford-Corcoran, CA",54,319,956,10,1.08,58,6862,18396,5.361702127659575,8266131.66900001,449.34396983039846,2.838239580297289,5458,4261316.529999993,9701,439.26569735078783,1.0462373954003164,0.0067003401711163,1.9019880125293087,1.51283161940906,2291.1809012572007,1181.1385831613202,1.4684433356945097,3607.804021264439,0.7700311625204669,0.1440166200109157,0.0022711667458934,0.0108100494727019,0.007095195337946,0.0192961143682107,0.0464796915438652,7.6,57848,43452
"Harrisburg-Carlisle, PA",267,5017,11662,35,1.1,781,26930,70171,5.211362792424805,18787131.945000414,267.7335643642019,2.766208689194208,21559,9933869.20100006,37229,266.83148086169547,1.089729371313603,0.008246259636305,6.23831442709987,4.994126280499298,4352.025111634791,2301.173395971843,24.9837767500686,4316.871218131191,0.8003278539228632,0.0863033419383312,0.013443411922534,0.0109354695211441,0.0038564868490646,0.0333703453324599,0.0517630905136027,4.0,64916,230247
"Harrisonburg, VA",42,745,1703,24,1.07,44,6267,15186,4.8463379607467685,5555084.104999987,365.8029833399175,2.5254507738950056,4384,2898894.484000005,7882,367.78666379091663,1.1029443450910985,0.0102765795483379,2.7909777197517416,1.952392903046376,2473.92946679464,1291.0084437139355,3.990995424052873,2245.449670073845,0.7607239449021951,0.1098182275614818,0.0094031071136549,0.0115258821309516,0.0097175923014026,0.0551449776715516,0.0436662683187621,3.8,56500,47717
"Hartford-East Hartford-Middletown, CT",449,12053,28583,52,1.17,1307,39460,100168,5.076938672072985,24164236.155999776,241.2370832601208,2.675798276735935,31262,12837578.618000112,52798,243.14516871851416,1.088179100814639,0.0227849539755293,9.726955447281428,7.706134850301876,5956.524290597994,3164.4844213953315,100.61024139606496,4056.767835924304,0.8110913086702267,0.0763881446944754,0.0275708230359724,0.008371981066595,0.0018893836751315,0.0242503878512299,0.0504379710063688,5.6,77769,473062
"Hattiesburg, MS",47,1018,2378,27,1.1,74,15780,39159,4.963117870722433,13789039.692999853,352.1295153859867,2.6287072243346006,11956,7236546.661000047,20686,349.8282249347407,1.0833623465252462,0.0175481001643623,2.991202195971048,2.2663379882781904,2613.802649558498,1371.7347442097778,3.2692628301354945,5275.470852908112,0.8330211100237662,0.0723053264364602,0.0023486648958478,0.0591500069900741,0.0018453795610233,0.0151405004893051,0.016189011603523,9.0,46800,61584
"Hickory-Lenoir-Morganton, NC",132,1839,4441,19,1.05,184,26594,61102,4.595171843272919,17429618.404000074,285.2544663677142,2.356057757388885,17107,8953519.328000054,31270,286.3293677006733,1.1060967218136248,0.008538535337384,6.155251423964763,3.959460258320117,4034.131138617128,2072.3156574102563,5.156065266712917,4320.538377434807,0.84892440376228,0.0835747811590725,0.0021714925474129,0.0221332299875123,0.0004859714199592,0.0087044248005364,0.0340056963232263,6.5,48114,144508
"Hilton Head Island-Bluffton, SC",43,800,2065,21,1.17,111,16601,40118,4.833202819107282,9762903.340999968,243.3546871977658,2.5817119450635504,12324,5174980.220999996,21459,241.15663455892616,1.1033645620219807,0.0277272939093154,4.032417342622811,2.993525168994851,2371.429476935032,1257.01343237699,2.6063743671211705,4116.885379032267,0.7758007117437722,0.1052012866959486,0.0045739689867803,0.01652185993823,0.0027251450738995,0.0186806023104955,0.0764964252508736,5.3,64959,81746
"Hinesville, GA",30,298,719,11,1.08,24,6547,16094,4.91645028257217,6514577.601000063,404.78299993786896,2.5425385672827248,4735,3327195.3470000005,8301,400.81861787736426,1.0955647148290877,0.011083002047946,2.5144599345176246,1.818537924231091,2502.007693297786,1277.852358995718,2.2661757257807875,2603.7400358323785,0.8116964156145697,0.1044841097083151,0.0053983456682629,0.0214482658540124,0.0036859672035988,0.0292845740821361,0.0240023218691046,10.4,50160,29180
"Homosassa Springs, FL",50,719,1600,16,1.08,80,15373,40107,5.217849476354648,8632104.719999976,215.2268860797361,2.7133285630651143,12095,4477026.338999995,20856,214.6637101553508,1.0841557908019928,0.017644802454929,7.676923840285411,6.039965774295977,4310.675243401292,2235.724337179131,1.4475959415524722,2002.494790859937,0.8234917127071824,0.0816353591160221,0.0030276243093922,0.0241325966850828,0.0028729281767955,0.0063646408839779,0.0584751381215469,8.0,44237,63681
"Hot Springs, AR",32,637,1635,23,1.07,35,11248,27899,4.960704125177809,7466417.120000029,267.6231090720108,2.5250711237553345,8139,3785520.900999999,14158,267.3768117671987,1.1403922408892633,0.0216132222065263,5.916547156195109,4.281185748957324,3927.401224955783,1991.2173650007728,0.9523268402824572,1901.1088229428583,0.8164753143055521,0.103652639670692,0.005281821112406,0.0180772187368264,0.0001239864110893,0.0193418801299377,0.0370471396334961,5.5,44777,40209
"Houston-The Woodlands-Sugar Land, TX",2616,105899,263239,76,1.34,12015,265501,643472,4.8472284473504805,119580516.35100396,185.8363943590459,2.781831330202146,209233,67595272.99500076,369740,182.81839399307827,1.073320760584056,0.0086276843187104,10.261375613632294,8.08666786101418,4621.679746403027,2612.4966983465915,270.61431125148965,25873.82140531728,0.8076811856915959,0.0978976762654512,0.0201285921453727,0.0137347460218808,0.0024222010121637,0.0127010639557252,0.0454345349078102,5.6,67516,2352275
"Huntington-Ashland, WV-KY-OH",117,1634,3952,19,1.06,198,26984,63427,4.701082122739401,21211677.771999624,334.42662859664847,2.4269937740883485,17983,10992125.009000016,32631,336.8614203977817,1.1286868344022047,0.0094082314363641,4.110107417335434,2.739106940629377,3230.887716603351,1674.281593973069,8.091922799164772,6565.2785341298,0.8465960557754716,0.0848614528725794,0.0058557112799115,0.0101708212973859,0.0013408936913804,0.0223315858920865,0.0288434791911843,5.7,45441,140894
"Huntsville, AL",174,3782,10482,28,1.12,267,34534,82322,4.7675913592401695,16476166.227000069,200.1429293141574,2.5170556552962298,24501,8719353.397999989,43508,200.4080490484506,1.0753252551035644,0.0113082651466396,9.403926347689064,6.671848017742798,4486.611851826915,2374.360258130083,18.617405630188696,3672.295881867092,0.8803326873684504,0.0617622787415738,0.0018451724169904,0.0099954566106315,0.0008715889808899,0.0082244619792487,0.0369683539022151,5.2,64483,180332
