msa,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
"Burlington, NC",11739.821651920265,38379.31679166137,40.683759470737904,23244.43607026445,15.845644908626044,12.532491262483967,7.424137180867539,4.940764826489357,5.478505820656215,46.22154399912313,57410.0,2653578.8409896586
"Burlington-South Burlington, VT",15318.926110625176,69472.64979166955,814.8068088603936,47705.32811360266,17.25521057719411,12.87765625240235,7.4994466009405345,5.594846859374755,6.350060891676908,97.7232523132672,66009.0,3272542.792975485
"Cape Coral-Fort Myers, FL",144006.57051823076,396477.5766189924,294.055218609832,281061.66842372395,14.367479589280691,12.283277610282557,7.271168649024078,4.8791264721347245,5.416733444649279,559.9829022021389,442576.0,19569730.752894983
"Cape Girardeau, MO-IL",24082.670598829252,66804.90056486757,1.3274761572090872,47861.037089065925,15.372361998431208,17.068063495944266,7.337690004754893,4.759189402125929,5.24577139436865,99.8814263750701,33868.0,1686053.2279802253
"Casper, WY",10004.778588398909,63048.432523815216,0.4049410031814217,24862.105400159493,16.787221426842873,13.96717668974617,7.284562976783377,4.822249403040718,5.337752594098194,48.198963090511334,29794.0,1436039.9063186946
"Champaign-Urbana, IL",35543.750229911704,158447.24782464234,79.39211486598502,76620.62266617714,15.260346511961881,16.93006471753347,7.157307852885824,4.956469983648377,5.537252385700247,160.50516434421104,97339.0,4851516.069469926
"Charleston, WV",13677.789296032553,53180.0509401145,4.225888021028953,21118.8945445487,14.436396588585456,17.8852853232634,6.901399543791611,4.649483704206164,5.158297790407032,49.03086295025366,95820.0,4698137.287893306
"Charleston-North Charleston, SC",36168.01928643873,88320.50951219337,317.72621287138446,66492.58717769879,14.636188282120957,12.294938191935167,7.531942878827025,5.037385870208663,5.592902513570651,137.99358166246827,229923.0,10368000.090886643
"Charlotte-Concord-Gastonia, NC-SC",95464.52478051292,264852.80217394326,681.4014683927123,184691.57269209388,15.731728033015223,13.064339358302016,7.567313064737159,5.475514011099155,6.178832383589097,374.5871666831527,574596.0,27590793.777529325
"Charlottesville, VA",59540.477731023464,127140.57221986396,601.1375074534916,140810.97789474085,19.101723062258454,14.729826091757694,7.505885187583287,5.460573196453724,6.168389841577507,262.48227799717694,86209.0,4566180.151700579
"Chattanooga, TN-GA",85373.54963706674,207880.0030172192,73.22978426235728,185105.62989945794,17.14271891616228,13.695414043668679,7.520139069253561,4.569176436011423,4.963951395637591,342.25571202451204,117684.0,5636051.501210566
"Cheyenne, WY",10338.373804103532,65016.956735182386,0.5535488660659188,25017.392613009924,17.02181289359848,13.443707453543038,7.375788313120176,5.064550542835392,5.651725817389653,48.557585020486734,33484.0,1625902.1768259779
"Chicago-Naperville-Elgin, IL-IN-WI",130651.28106506595,615846.489345887,323.49049015200484,281380.46788011515,15.130404537017908,17.615034750878078,8.371043519704589,5.925116293948679,6.670485454426742,597.121933693473,3060469.0,164384169.7089433
"Cincinnati, OH-KY-IN",112958.46114310925,346072.42175946105,527.6298714686093,244495.71460389148,18.665120413804356,16.17650418408613,8.02494304442772,5.722563860442926,6.445377202045749,472.00492781477203,562264.0,30943923.002399538
"Clarksville, TN-KY",13638.545864505986,29559.27541159216,7.779793111781393,24327.156562548083,16.288120355250822,15.04787039291092,7.206351746422527,4.533923597016957,4.959870243872852,48.03613633547408,6877.0,330344.50957905524
"Cleveland, TN",24954.45868425016,62433.79104601726,11.03719735662233,45807.99563266063,16.664727263498367,13.698907044148699,7.500488880579338,4.641112000154634,5.065558414704052,89.85582569528118,42094.0,2002444.985928264
"Cleveland-Elyria, OH",36378.29734001869,179302.7634351437,166.27369121467194,70199.47428838798,13.431006447852198,16.97444083968439,7.367172960162983,5.214772038907064,5.8553388135034234,162.41753255227587,769528.0,37585849.178005494
"Coeur d'Alene, ID",10343.51145604918,47917.0908667542,13.86004859287965,26671.318657347234,17.879754642847,11.041851180106304,7.8234323447341865,4.9283982851487185,5.404044677722088,47.0774811305583,47148.0,2219609.0803435626
"College Station-Bryan, TX",23581.454656926166,52135.57927271369,1.9774256404378865,47510.32850835369,15.235020763120648,11.905888818460616,7.621932391935614,4.545365431673084,4.914912363372066,90.47167935373125,67244.0,2973739.465717185
"Colorado Springs, CO",8890.17495152997,46267.53617516588,1.4106025142984058,28358.909984182523,19.489696403473285,15.037778996636188,7.675295019891674,5.792420904716634,6.591061006585275,54.586252331303065,10651.0,581398.1735807089
"Columbia, MO",12587.911059221551,42299.31153829155,2.471571008622595,24789.313456210097,16.66286644890845,17.919689113971234,7.399080231297433,4.732962728420229,5.197213303898368,51.911811826495715,6623.0,343811.9297268811
"Columbia, SC",38422.765482977964,92401.07979476237,126.14574053971887,77478.13129706506,17.824741556910876,12.585981492728743,7.7384205265243615,5.39655643013765,6.04689686443794,146.42702600476113,230944.0,11453112.691716082
"Columbus, GA-AL",122675.32155596233,309334.9541462415,473.5140238107571,229801.82074615994,14.51736270170909,14.735677518640193,7.624212795880685,4.644057949796303,5.04841978370226,465.46326764621585,161637.0,7527391.569193871
"Columbus, IN",12437.345693144238,49850.08845189439,11.774388255453696,26826.382602316495,18.272136394124406,16.74577226838067,7.5833036129960645,5.329211258258609,5.9824879475447075,53.91291148130446,29654.0,1598733.4770666026
"Columbus, OH",89393.2674671186,314207.4408645667,814.0436225888966,214323.55638707572,18.541974810682248,14.88254926944503,7.9878301975257475,6.62739257912608,7.673303495501675,419.0843612950411,469594.0,26162514.16712894
"Corpus Christi, TX",26808.731175544417,54406.92430965862,0.15563883198241718,46746.53527627677,15.19126981913807,13.25031599868585,8.541278975636256,4.889908713468128,5.247861309761488,95.50622315500206,150160.0,7075634.524074139
"Crestview-Fort Walton Beach-Destin, FL",37081.21749915081,71268.63439759449,7.379082794862313,74370.44668848845,16.139858566309172,13.180103688042523,7.684868487739688,5.180477172038302,5.76288392112116,146.7919766588384,133564.0,6404152.294283443
"Cumberland, MD-WV",51609.76546143278,225805.35014704888,501.8094056561072,132028.7919394359,14.423154564942795,14.193855599333366,7.257324943528733,4.442545018447577,4.82826067556259,260.7732657447741,76315.0,3445251.4202905158
"Dallas-Fort Worth-Arlington, TX",151587.12794665474,392788.3801540426,105.8710131817939,348133.1185727021,19.66191333039156,13.65424631237744,8.151362174505312,6.32765011289562,7.24562923429306,640.5651365235674,1623371.0,89351640.42715546
"Dalton, GA",46984.82861402794,116350.79788866769,224.43491644750776,101715.91134077258,17.242078144607714,14.030511168992113,8.17219099897374,4.941683905309732,5.370752178403912,199.51334705285586,56046.0,2788692.950146313
"Daphne-Fairhope-Foley, AL",26200.47537693994,60360.661011075135,3.680537678573117,45885.94484528732,16.391502672383908,14.623359727616789,7.520305820423417,5.030438795883715,5.5835631875285445,95.79652631842222,91232.0,4483977.096036399
"Davenport-Moline-Rock Island, IA-IL",11387.460266004964,71674.17615114896,2.0868824745509262,21893.744902570645,15.06336923270361,17.829511067164933,7.1733104713294535,4.952914195272362,5.5308706899858455,50.549975656456205,64892.0,3280289.020298756
"Deltona-Daytona Beach-Ormond Beach, FL",21390.3248241888,29522.371510894114,27.924867859482443,40903.37749162031,13.652055715963332,10.78211588830892,7.047715522571287,4.722133876496428,5.236634510428814,84.56128665181132,236690.0,9808588.753553934
"Denver-Aurora-Lakewood, CO",98423.12105748589,516641.09366265574,35.57766802636926,260396.5761797679,14.782348411737393,15.58806635783765,7.49038736003135,5.503396366992196,6.227254257106606,517.7799456147476,742010.0,36797353.85777679
"Des Moines-West Des Moines, IA",11474.584367468615,52835.60361357734,16.719868077100575,27635.490083551354,18.459348764529775,16.98413246074812,7.164629926576083,4.751971532862666,5.252459897300956,52.612542582017596,5633.0,296366.4523645051
"Detroit-Warren-Dearborn, MI",37185.81329272889,206561.57709005626,62.04459472949172,85711.42080464798,18.8965569589893,19.293449747859857,7.650167818228957,6.400832849892771,7.415580872201879,180.2853543655483,842877.0,50283166.13201224
"Dothan, AL",13500.75235354385,26347.504658252645,7.3887221844256965,24018.0095426989,15.8227938516488,14.523363685431177,7.3174391886834815,4.137860490997204,4.404368973474115,46.20582619023478,12492.0,577203.1807684129
"Dubuque, IA",10558.66934965144,58472.974558208276,32.79241293597631,23496.282128709656,16.053949088278994,16.688018076862495,7.6017004350931865,5.071665902217946,5.629135125296373,51.044468627749,36961.0,1886654.6049502308
"Duluth, MN-WI",9717.63258861713,35106.72788566478,140.69276690636755,25269.263798797027,17.14298855692038,15.62394757014556,7.566187345205803,5.066072718345994,5.623469125836467,51.022665316454194,14836.0,756972.2626349145
"Durham-Chapel Hill, NC",34177.31145438104,98070.13605973485,171.30208431000509,70722.54440353377,14.754612542301723,11.981749694877987,7.340744570126827,5.145607209648183,5.766899657474002,139.017272691129,127535.0,5737750.379968268
"Eau Claire, WI",38304.91262929546,187748.72379402493,383.99854691649927,95686.23619006565,16.189528798334102,15.321585134479209,7.437758230412083,4.875344520928864,5.388359536216091,197.4936911339069,85218.0,4193797.3203475205
"El Centro, CA",9065.468428443924,36340.449139225435,0.2017169233693854,23310.898001946203,15.443017888365809,11.089002213814933,10.206121801018558,4.960696542056965,5.10451128091141,46.803349726167674,42756.0,2001124.020892025
"El Paso, TX",33384.407851541604,131596.08207070804,0.6605575893951485,71562.58431338592,16.06500667996076,15.306296418946909,8.887110645203004,5.203297378004044,5.62210404431146,147.16282395999792,429091.0,21919605.333576974
"Elizabethtown-Fort Knox, KY",87271.35598489425,277805.8130752775,98.93925942559447,175475.76980898203,16.97843778314901,14.875243187965884,7.758714048634093,4.763495764140874,5.190245041086786,344.0551654482321,102867.0,5098719.693907872
"Elkhart-Goshen, IN",13045.602308483332,65616.10643821901,9.96186672709148,24665.317655819414,16.885009509310418,18.286057569721045,8.259809652188563,5.415909486504558,6.000220728262723,54.8470069459873,69865.0,3831886.140281403
"Elmira, NY",7798.636375899826,69471.23994264421,61.191105353050666,19464.169319874974,13.441371925945013,10.44489099944853,7.312977493474339,4.78790374109509,5.287948915983929,41.2750930759469,37044.0,1528994.5479053769
"Enid, OK",65473.37745295623,230965.52618546961,176.3797962914648,153866.21071992858,17.811343713245407,16.85284986368247,7.6072936175275245,4.984380170155142,5.508078544803507,288.38884683667675,51531.0,2718978.896658015
"Erie, PA",30836.193535899874,206158.4881335266,55.79996090778958,58859.01068489527,13.130076424505509,11.578759305064837,7.355042117137632,5.041702204168068,5.623569720512764,136.2145135860885,568572.0,24294598.143818084
"Eugene-Springfield, OR",23649.400087547587,85925.68193577055,12.337642483802691,50167.36937267674,15.946727711752375,9.33580605190631,7.305935835539578,4.856199435116092,5.380564515217328,98.64378685380728,139890.0,5990821.921243986
"Evansville, IN-KY",104083.23081172138,342369.4335609616,159.2489176430202,206785.04308004805,16.385457984274165,15.482329557271008,7.273222242403926,4.912182592438361,5.458779021288002,410.4565128722158,209189.0,10357359.784708332
"Farmington, NM",38001.131479457166,121650.69352194216,62.297066690947844,84395.0369318089,16.171607919416232,10.689815605841677,8.734771921464938,4.858203091446938,5.179496756297363,169.99125046042522,56488.0,2577767.4773938605
"Fayetteville, NC",23849.664037753908,55072.076682369574,75.30194665663905,45799.22276979941,15.53522280326751,11.8653760131769,7.895669696896121,4.707482908158682,5.092855985379523,90.44868291981001,41859.0,1887698.8894445372
"Flagstaff, AZ",8882.880730073399,40743.213105756055,2.6263487052959653,22494.554161686832,15.233475125359368,10.770765258073341,8.784947613605631,5.053618230541138,5.43518959003012,45.27799581760959,50252.0,2275309.8458265173
"Flint, MI",19837.074281635316,126956.7386264745,160.87660051070085,47773.34763600591,16.495800008979675,17.471129642977527,7.690620481567267,5.263186514069666,5.874964318096165,99.30098251739183,214217.0,11309736.67376728
"Florence, SC",32355.250490285838,93154.6030999611,159.71894919028534,61766.552466142195,14.539480993891328,12.158237622434854,7.709915045423163,4.626602904293176,5.013077760149029,130.75730769898138,87503.0,3854272.145484739
"Florence-Muscle Shoals, AL",54412.84939825919,140780.721802351,17.54423081801257,94977.0101409863,16.02609220654729,15.07841614307296,7.363085924026159,4.516189532590455,4.912531644709121,192.14671584089322,111019.0,5317401.045048572
"Fond du Lac, WI",10296.832370575554,58007.51276009103,70.36291450208206,25484.306994636183,17.476660549582906,16.610581276562105,7.553097903234545,5.3740032739373955,6.044362568666292,53.05870557198324,37540.0,1991823.8071722507
"Fort Collins, CO",9442.796927200148,60658.5099726729,0.5104787780990527,25680.7120369087,17.74256398907687,16.576914412026756,7.564947151654358,5.607064646938674,6.3564254831258,53.84791568282245,105530.0,5682570.542008254
"Fort Smith, AR-OK",26242.60377332516,71003.4368534385,0.6377294988617885,46431.13334205805,15.089439352984114,16.054879703145296,7.573750429593818,4.564546798406645,4.9481488104465265,96.99433012736824,65461.0,3157234.1138560656
"Fort Wayne, IN",25232.772554163985,83626.21890332093,34.70483238771113,51158.64205446536,16.41050374367308,15.603108277081022,7.605092695447815,4.543092206079262,4.915861939881321,100.8914575722266,34572.0,1696712.8221826816
"Fresno, CA",7436.898067892878,41301.73233663321,0.5749646062321064,21538.2835169375,14.500086321607473,8.284144955508571,9.53320404514012,5.01790566884839,5.279340890092389,42.61468188119694,272268.0,11602614.206429727
"Gadsden, AL",13406.080103978125,37243.7590169204,1.6456112926940296,24540.07242624128,16.362952880771275,15.347638474521286,7.320207242624128,4.47775878447429,4.866057990275345,48.37461537266632,53420.0,2584171.9532078346
"Gainesville, FL",32227.56674065651,52038.58411179542,46.74294081514364,63465.08791134954,13.582252516167875,10.883230704288813,7.13838351723069,4.474858804323292,4.889738911128988,124.93447149000468,121368.0,4972260.593748652
"Gettysburg, PA",131595.4667004898,501439.57640992035,584.3767223997888,293190.49940685893,17.0066183361396,16.433062794466,8.219685256840984,5.442153125290175,6.038876320196424,583.5567514236249,700054.0,37201146.66442821
"Grand Forks, ND-MN",9904.471995122014,44006.68691422062,28.675587850781383,23180.050292048738,15.704659703394851,14.9183180504891,7.3650829041577675,4.769816240161903,5.25403399399419,48.01191089219782,27369.0,1314037.989208562
"Grand Island, NE",50343.98001360388,189582.71720341395,20.315939927691968,103484.02401204061,18.09779973640858,15.741680250781982,8.3199984177382,5.255544651043385,5.772039340032388,204.51626442926425,79476.0,4227094.970984857
"Grand Junction, CO",9558.1609533153,58058.91380446695,1.157858289229763,24672.794082250188,16.63434632417369,16.38917514393027,7.437518310295027,4.805006683076757,5.292131505982592,50.558177967458334,48477.0,2450908.7933284775
"Grand Rapids-Kentwood, MI",22563.54870312613,104120.25697239343,116.74065738860696,56193.48221369115,18.73949009642393,17.358974514156632,8.049397994998197,5.113846701480624,5.621747124331806,110.16024889172105,49404.0,2711462.2815364506
"Grants Pass, OR",10284.81915502577,29312.058954816923,23.980605990149268,24808.27901715248,16.516881982589393,9.828038817192102,7.238701199621173,4.4343032560522415,4.822136667063786,42.84006192251869,33402.0,1430943.7483359694
"Great Falls, MT",9166.399906219873,66614.2159722851,6.382762028819357,24011.04921237781,16.119307134659547,11.490648264189247,7.2590787622190405,4.58646777439941,5.024181519765249,44.47968345523248,35223.0,1566707.8903436537
"Greeley, CO",9869.498825180659,59640.61978640619,2.5320700617902077,27175.839822203798,18.362416580779776,16.92939426692523,8.36424171762186,5.344497017357777,5.884970822598475,54.885520405283124,94813.0,5203860.846186109
"Green Bay, WI",20127.009009229256,92976.74098832553,193.42194642949633,57941.335921566395,19.35990425994282,15.75166387759412,7.706041983042769,5.225074287376135,5.818716493824243,108.71631412882857,25833.0,1391401.5694956852
"Greensboro-High Point, NC",96298.0327730838,309244.7967224992,250.54929468030363,193093.15161825682,15.609729920226298,13.342143720515274,7.36719667962785,5.043090328225461,5.623085585769739,385.6687253091799,309257.0,14530516.294700898
