msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,dvmt_freeway,ahd_truck,vmt_arterial
"Duluth, MN-WI",72,875,2093,16,1.07,,78,
"Durham, NC",218,4613,12999,35,1.17,,364,
"East, Stoudsburg",33,640,1480,9,1.05,,91,
"Eau, Claire",62,611,1549,14,1.06,,82,
"El, Centro-Calexico",68,844,1754,14,1.12,,83,
"El, Paso",40,942,2556,35,1.13,,151,
"Elizabethtown-Radcliff, KY",46,644,1496,16,1.09,,63,
"Elkhart, IN-MI",83,1036,2252,14,1.07,,133,
"Elmira, NY",40,424,974,13,1.05,,47,
"Erie, PA",113,1551,3547,17,1.08,,121,
"Evansville, IN-KY",135,2061,4685,18,1.09,,187,
"Fairbanks, AK",39,1065,2472,34,1.14,,89,
"Fairfield, CA",82,2779,8551,43,1.19,,306,
"Fajardo, PR",44,230,710,8,1.21,,149,
"Fargo, ND-MN",117,1826,4052,21,1.16,,111,
"Farmington, NM",32,597,1154,14,1.09,,38,
"Fayetteville, NC",185,2807,7829,23,1.1,,241,
"Fayetteville-Springdale-Rogers, AR-MO",195,4680,10490,32,1.14,,419,
"Flagstaff, AZ",46,681,1467,17,1.08,,87,
"Flint, MI",189,2274,5663,15,1.05,,213,
"Florence, AL",48,1122,2481,29,1.12,,84,
"Florence, SC",56,1321,3186,31,1.12,,147,
"Florida-Imbrey-Barceloneta, PR",37,393,724,10,1.11,,88,
"Fond, du",34,350,786,10,1.04,,34,
"Fort, Collins",170,2671,6704,23,1.11,,236,
"Fort, Smith",73,1364,3068,23,1.06,,84,
"Fort, Walton",125,2492,5453,24,1.14,,173,
"Fort, Wayne",183,2890,6291,19,1.09,,344,
"Frederick, MD",89,1474,4098,27,1.13,,179,
"Fredericksburg, VA",90,2240,5431,31,1.14,,243,
"Gadsden, AL",38,906,2013,30,1.11,,102,
"Gainesville, FL",116,2727,5843,28,1.17,,179,
"Gainesville, GA",85,1599,3636,25,1.09,,161,
"Gastonia, NC-SC",104,1760,4474,25,1.09,,185,
"Gilroy-Morgan, Hill",66,1103,4031,35,1.2,,171,
"Glens, Falls",37,676,1580,22,1.05,,53,
"Goldsboro, NC",36,570,1336,19,1.08,,42,
"Grand, Forks",38,1085,2338,23,1.08,,65,
"Grand, Island",30,314,744,9,1.08,,26,
"Grand, Junction",76,689,1649,12,1.07,,70,
"Grants, Pass",31,541,1192,13,1.05,,74,
"Great, Falls",38,426,960,13,1.11,,32,
"Greeley, CO",79,1307,3312,26,1.16,,134,
"Green, Bay",121,1581,3703,16,1.06,,205,
"Greenville, NC",74,1942,4259,31,1.16,,130,
"Greenville, SC",245,5500,13331,30,1.15,,739,
"Guayama, PR",36,362,855,11,1.13,,165,
"Gulfport, MS",129,2386,5530,24,1.07,,160,
"Hagerstown, MD-WV-PA",112,1568,3367,16,1.04,,265,
"Hammond, LA",42,668,1294,17,1.03,,134,
"Hanford, CA",54,319,956,10,1.08,,58,
"Hanover, PA",38,562,1207,13,1.07,,60,
"Harlingen, TX",84,1469,3120,15,1.06,,127,
"Harrisburg, PA",267,5017,11662,35,1.1,,781,
"Harrisonburg, VA",42,745,1703,24,1.07,,44,
"Hattiesburg, MS",47,1018,2378,27,1.1,,74,
"Hazleton, PA",32,395,966,19,1.05,,41,
"Hemet, CA",105,809,1568,10,1.14,,98,
"Hickory, NC",132,1839,4441,19,1.05,,184,
"High, Point",99,1335,3037,15,1.05,,101,
"Hilton, Head",43,800,2065,21,1.17,,111,
"Hinesville, GA",30,298,719,11,1.08,,24,
"Holland, MI",61,562,1363,12,1.06,,48,
"Homosassa, Spr-Beverly",50,719,1600,16,1.08,,80,
"Hot, Springs",32,637,1635,23,1.07,,35,
"Houma, LA",85,1418,2700,17,1.08,,200,
"Huntington, WV-KY-OH",117,1634,3952,19,1.06,,198,
"Huntsville, AL",174,3782,10482,28,1.12,,267,
"Idaho, Falls",57,631,1397,11,1.06,,43,
"Iowa, City",71,878,2023,16,1.07,,95,
"Ithaca, NY",33,647,1637,28,1.17,,57,
"Jackson, MI",53,627,1575,17,1.07,,80,
"Jackson, TN",43,1178,2316,24,1.08,,174,
"Jacksonville, NC",63,1081,2557,20,1.11,,74,
"Janesville, WI",42,595,1528,19,1.07,,83,
"Jefferson, City",32,575,1537,22,1.09,,62,
"Johnson, City",72,1256,2686,18,1.06,,123,
"Johnstown, PA",41,373,830,12,1.06,,34,
"Jonesboro, AR",42,853,1995,26,1.09,,104,
"Joplin, MO",50,841,1825,21,1.08,,93,
"Juana, Díaz",40,147,350,8,1.19,,34,
"Kahului, HI",36,950,2074,23,1.15,,77,
"Kailua, (Honolulu",65,1432,3232,24,1.22,,147,
"Kalamazoo, MI",124,1625,3807,17,1.05,,116,
"Kankakee, IL",49,553,1158,13,1.05,,63,
"Kennewick-Pasco, WA",135,1809,4270,17,1.08,,224,
"Kenosha, WI-IL",72,1493,3148,23,1.11,,243,
"Killeen, TX",129,1599,3639,14,1.1,,151,
"Kingsport, TN-VA",62,884,2159,18,1.05,,100,
"Kingston, NY",64,797,2122,23,1.04,,86,
"Kissimmee, FL",207,7152,15656,35,1.21,,724,
"Kokomo, IN",38,379,844,9,1.06,,40,
"La, Crosse",60,866,1865,16,1.07,,84,
"Lady, Lake-The",70,858,1761,14,1.1,,91,
