msa_x,municipality,msa_y
"Charleston-North Charleston, SC","['Berkeley County, SC', 'Charleston County, SC', 'Dorchester County, SC']","Charleston-North Charleston, SC"
"Reading, PA","['Berks County, PA']","Reading, PA"
"Pittsfield, MA","['Berkshire County, MA']","Pittsfield, MA"
"Albuquerque, NM","['Bernalillo County, NM', 'Sandoval County, NM', 'Torrance County, NM', 'Valencia County, NM']","Albuquerque, NM"
"Niles, MI","['Berrien County, MI']","Niles, MI"
"Birmingham-Hoover, AL","['Bibb County, AL', 'Blount County, AL', 'Chilton County, AL', 'Jefferson County, AL', 'St. Clair County, AL', 'Shelby County, AL']","Birmingham-Hoover, AL"
"Macon-Bibb County, GA","['Bibb County, GA', 'Crawford County, GA', 'Jones County, GA', 'Monroe County, GA', 'Twiggs County, GA']","Macon-Bibb County, GA"
"Waterloo-Cedar Falls, IA","['Black Hawk County, IA', 'Bremer County, IA', 'Grundy County, IA']","Waterloo-Cedar Falls, IA"
"Altoona, PA","['Blair County, PA']","Altoona, PA"
"Mankato, MN","['Blue Earth County, MN', 'Nicollet County, MN']","Mankato, MN"
"St. Louis, MO-IL","['Bond County, IL', 'Calhoun County, IL', 'Clinton County, IL', 'Jersey County, IL', 'Macoupin County, IL', 'Madison County, IL', 'Monroe County, IL', 'St. Clair County, IL', 'Franklin County, MO', 'Jefferson County, MO', 'Lincoln County, MO', 'St. Charles County, MO', 'St. Louis County, MO', 'Warren County, MO', 'St. Louis, MO']","St. Louis, MO-IL"
"Idaho Falls, ID","['Bonneville County, ID', 'Butte County, ID', 'Jefferson County, ID']","Idaho Falls, ID"
"Ames, IA","['Boone County, IA', 'Story County, IA']","Ames, IA"
"Rockford, IL","['Boone County, IL', 'Winnebago County, IL']","Rockford, IL"
"Indianapolis-Carmel-Anderson, IN","['Boone County, IN', 'Brown County, IN', 'Hamilton County, IN', 'Hancock County, IN', 'Hendricks County, IN', 'Johnson County, IN', 'Madison County, IN', 'Marion County, IN', 'Morgan County, IN', 'Putnam County, IN', 'Shelby County, IN']","Indianapolis-Carmel-Anderson, IN"
"Columbia, MO","['Boone County, MO', 'Cooper County, MO', 'Howard County, MO']","Columbia, MO"
"Charleston, WV","['Boone County, WV', 'Clay County, WV', 'Jackson County, WV', 'Kanawha County, WV', 'Lincoln County, WV']","Charleston, WV"
"Shreveport-Bossier City, LA","['Bossier County, LA', 'Caddo County, LA', 'De Soto County, LA']","Shreveport-Bossier City, LA"
"Roanoke, VA","['Botetourt County, VA', 'Craig County, VA', 'Franklin County, VA', 'Roanoke, VA', 'Roanoke County, VA', 'Salem, VA']","Roanoke, VA"
"Boulder, CO","['Boulder County, CO']","Boulder, CO"
"Lexington-Fayette, KY","['Bourbon County, KY', 'Clark County, KY', 'Fayette County, KY', 'Jessamine County, KY', 'Scott County, KY', 'Woodford County, KY']","Lexington-Fayette, KY"
"Ogden-Clearfield, UT","['Box Elder County, UT', 'Davis County, UT', 'Morgan County, UT', 'Weber County, UT']","Ogden-Clearfield, UT"
"Huntington-Ashland, WV-KY-OH","['Boyd County, KY', 'Carter County, KY', 'Greenup County, KY', 'Lawrence County, OH', 'Cabell County, WV', 'Putnam County, WV', 'Wayne County, WV']","Huntington-Ashland, WV-KY-OH"
"Cleveland, TN","['Bradley County, TN', 'Polk County, TN']","Cleveland, TN"
"Brunswick, GA","['Brantley County, GA', 'Glynn County, GA', 'McIntosh County, GA']","Brunswick, GA"
"College Station-Bryan, TX","['Brazos County, TX', 'Burleson County, TX', 'Robertson County, TX']","College Station-Bryan, TX"
"Palm Bay-Melbourne-Titusville, FL","['Brevard County, FL']","Palm Bay-Melbourne-Titusville, FL"
"Providence-Warwick, RI-MA","['Bristol County, MA', 'Bristol County, RI', 'Kent County, RI', 'Newport County, RI', 'Providence County, RI', 'Washington County, RI']","Providence-Warwick, RI-MA"
"Valdosta, GA","['Brooks County, GA', 'Echols County, GA', 'Lanier County, GA', 'Lowndes County, GA']","Valdosta, GA"
"Binghamton, NY","['Broome County, NY', 'Tioga County, NY']","Binghamton, NY"
"Miami-Fort Lauderdale-Pompano Beach, FL","['Broward County, FL', 'Miami-Dade County, FL', 'Palm Beach County, FL']","Miami-Fort Lauderdale-Pompano Beach, FL"
"Green Bay, WI","['Brown County, WI', 'Kewaunee County, WI', 'Oconto County, WI']","Green Bay, WI"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","['Brunswick County, NC', 'Horry County, SC']","Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
"Savannah, GA","['Bryan County, GA', 'Chatham County, GA', 'Effingham County, GA']","Savannah, GA"
"Asheville, NC","['Buncombe County, NC', 'Haywood County, NC', 'Henderson County, NC', 'Madison County, NC']","Asheville, NC"
"Augusta-Richmond County, GA-SC","['Burke County, GA', 'Columbia County, GA', 'Lincoln County, GA', 'McDuffie County, GA', 'Richmond County, GA', 'Aiken County, SC', 'Edgefield County, SC']","Augusta-Richmond County, GA-SC"
"Bismarck, ND","['Burleigh County, ND', 'Morton County, ND', 'Oliver County, ND']","Bismarck, ND"
"Wichita, KS","['Butler County, KS', 'Harvey County, KS', 'Sedgwick County, KS', 'Sumner County, KS']","Wichita, KS"
"Chico, CA","['Butte County, CA']","Chico, CA"
"Lake Charles, LA","['Calcasieu County, LA', 'Cameron County, LA']","Lake Charles, LA"
"Anniston-Oxford, AL","['Calhoun County, AL']","Anniston-Oxford, AL"
"Battle Creek, MI","['Calhoun County, MI']","Battle Creek, MI"
"Columbia, SC","['Calhoun County, SC', 'Fairfield County, SC', 'Kershaw County, SC', 'Lexington County, SC', 'Richland County, SC', 'Saluda County, SC']","Columbia, SC"
"Abilene, TX","['Callahan County, TX', 'Jones County, TX', 'Taylor County, TX']","Abilene, TX"
"Jefferson City, MO","['Callaway County, MO', 'Cole County, MO', 'Moniteau County, MO', 'Osage County, MO']","Jefferson City, MO"
"Appleton, WI","['Calumet County, WI', 'Outagamie County, WI']","Appleton, WI"
"Johnstown, PA","['Cambria County, PA']","Johnstown, PA"
"Virginia Beach-Norfolk-Newport News, VA-NC","['Camden County, NC', 'Currituck County, NC', 'Gates County, NC', 'Gloucester County, VA', 'Isle of Wight County, VA', 'Mathews County, VA', 'Chesapeake, VA', 'Hampton, VA', 'Newport News, VA', 'Norfolk, VA', 'Portsmouth, VA', 'Suffolk, VA', 'Virginia Beach, VA', 'James City County, VA', 'Williamsburg,, VA', 'Southampton County, VA', 'Franklin, VA', 'York County, VA', 'Poquoson, VA']","Virginia Beach-Norfolk-Newport News, VA-NC"
"Brownsville-Harlingen, TX","['Cameron County, TX']","Brownsville-Harlingen, TX"
"Oklahoma City, OK","['Canadian County, OK', 'Cleveland County, OK', 'Grady County, OK', 'Lincoln County, OK', 'Logan County, OK', 'McClain County, OK', 'Oklahoma County, OK']","Oklahoma City, OK"
"Nashville-Davidson--Murfreesboro--Franklin, TN","['Cannon County, TN', 'Cheatham County, TN', 'Davidson County, TN', 'Dickson County, TN', 'Macon County, TN', 'Maury County, TN', 'Robertson County, TN', 'Rutherford County, TN', 'Smith County, TN', 'Sumner County, TN', 'Trousdale County, TN', 'Williamson County, TN', 'Wilson County, TN']","Nashville-Davidson--Murfreesboro--Franklin, TN"
"Ocean City, NJ","['Cape May County, NJ']","Ocean City, NJ"
"Billings, MT","['Carbon County, MT', 'Stillwater County, MT', 'Yellowstone County, MT']","Billings, MT"
"Duluth, MN-WI","['Carlton County, MN', 'Lake County, MN', 'St. Louis County, MN', 'Douglas County, WI']","Duluth, MN-WI"
"Canton-Massillon, OH","['Carroll County, OH', 'Stark County, OH']","Canton-Massillon, OH"
"Carson City, NV","['Carson City, NV']","Carson City, NV"
"Johnson City, TN","['Carter County, TN', 'Unicoi County, TN', 'Washington County, TN']","Johnson City, TN"
"Great Falls, MT","['Cascade County, MT']","Great Falls, MT"
"Chattanooga, TN-GA","['Catoosa County, GA', 'Dade County, GA', 'Walker County, GA', 'Hamilton County, TN', 'Marion County, TN', 'Sequatchie County, TN']","Chattanooga, TN-GA"
"State College, PA","['Centre County, PA']","State College, PA"
"Champaign-Urbana, IL","['Champaign County, IL', 'Piatt County, IL']","Champaign-Urbana, IL"
"Punta Gorda, FL","['Charlotte County, FL']","Punta Gorda, FL"
"Durham-Chapel Hill, NC","['Chatham County, NC', 'Durham County, NC', 'Granville County, NC', 'Orange County, NC', 'Person County, NC']","Durham-Chapel Hill, NC"
"Wenatchee, WA","['Chelan County, WA', 'Douglas County, WA']","Wenatchee, WA"
"Elmira, NY","['Chemung County, NY']","Elmira, NY"
"Jackson, TN","['Chester County, TN', 'Crockett County, TN', 'Gibson County, TN', 'Madison County, TN']","Jackson, TN"
"Eau Claire, WI","['Chippewa County, WI', 'Eau Claire County, WI']","Eau Claire, WI"
"Burlington-South Burlington, VT","['Chittenden County, VT', 'Franklin County, VT', 'Grand Isle County, VT']","Burlington-South Burlington, VT"
"Clarksville, TN-KY","['Christian County, KY', 'Trigg County, KY', 'Montgomery County, TN', 'Stewart County, TN']","Clarksville, TN-KY"
"Springfield, MO","['Christian County, MO', 'Dallas County, MO', 'Greene County, MO', 'Polk County, MO', 'Webster County, MO']","Springfield, MO"
"Homosassa Springs, FL","['Citrus County, FL']","Homosassa Springs, FL"
"Portland-Vancouver-Hillsboro, OR-WA","['Clackamas County, OR', 'Columbia County, OR', 'Multnomah County, OR', 'Washington County, OR', 'Yamhill County, OR', 'Clark County, WA', 'Skamania County, WA']","Portland-Vancouver-Hillsboro, OR-WA"
